value,page,position
916620,418,86
916620,796,476
916620,1150,133
916630,331,975
916630,422,459
916630,1160,368
916630,1184,11
916630,1497,350
916630,1939,759
916640,647,912
916640,1077,492
916640,1231,175
916640,1887,319
916650,101,593
916650,199,492
916650,452,786
916650,580,941
916650,597,285
916650,729,502
916650,946,364
916650,1699,847
916660,279,908
916660,302,416
916660,870,293
916670,64,693
916670,227,463
916670,288,128
916670,497,563
916670,922,780
916670,1155,587
916680,481,449
916680,618,70
916680,1994,187
916690,450,553
916690,608,746
916690,688,537
916690,893,806
916690,963,938
916690,1099,179
916690,1492,367
916690,1759,150
916690,1903,756
916700,429,114
916700,497,907
916700,1820,680
916710,672,243
916710,1092,574
916710,1258,238
916710,1679,980
916720,185,425
916720,285,424
916720,1503,642
916720,1548,599
916730,59,792
916730,386,131
916730,472,511
916740,1025,425
916740,1104,432
916740,1772,314
916750,399,360
916750,1207,24
916750,1377,826
916750,1577,478
916750,1851,424
916760,483,357
916770,595,311
916770,982,969
916770,1025,887
916770,1102,101
916780,47,375
916780,67,690
916780,276,303
916780,581,836
916780,1193,982
916790,387,144
916790,1429,661
916790,1779,622
916790,1784,894
916790,1867,379
916800,353,185
916800,576,551
916800,875,510
916800,1122,853
916800,1266,521
916800,1651,817
916800,1919,668
916810,502,932
916810,857,930
916810,1115,763
916810,1889,754
916820,354,120
916830,25,351
916830,51,504
916830,1097,505
916830,1431,50
916840,537,147
916840,1111,149
916840,1930,584
916850,135,638
916850,943,987
916860,786,596
916860,1383,130
916870,235,279
916880,130,23
916880,369,112
916880,882,26
916880,1108,71
916880,1314,500
916880,1743,305
916880,1784,252
916880,1882,614
916890,260,862
916890,429,593
916890,1057,369
916890,1307,232
916890,1831,604
916900,417,319
916900,494,791
916900,1289,480
916900,1981,297
916910,430,286
916910,712,160
916910,944,303
916910,1671,868
916920,532,462
916920,1094,952
916920,1557,6
916930,790,230
916930,1179,815
916930,1366,642
916930,1875,266
916940,851,620
916940,987,735
916940,1338,449
916940,1677,862
916950,363,40
916950,770,219
916950,1243,460
916950,1809,199
916950,1913,785
916960,71,450
916960,278,809
916960,1325,642
916960,1685,523
916960,1831,463
916970,334,995
916970,404,555
916970,527,919
916970,715,781
916970,841,974
916970,864,614
916970,1182,703
916970,1764,208
916980,220,126
916980,284,673
916980,305,287
916980,760,460
916980,1126,131
