4991260,210,888
4991260,545,547
4991260,769,981
4991270,296,962
4991270,356,672
4991270,387,826
4991270,680,34
4991270,943,824
4991270,1189,479
4991270,1378,628
4991270,1396,116
4991270,1870,42
4991280,511,527
4991280,681,92
4991280,816,882
4991280,1343,388
4991280,1907,519
4991290,52,434
4991290,205,487
4991290,637,736
4991290,719,0
4991290,852,758
4991290,1093,532
4991290,1350,758
4991290,1771,39
4991290,1863,374
4991300,781,633
4991300,810,60
4991300,1135,259
4991300,1185,726
4991300,1391,432
4991310,221,985
4991320,415,109
4991320,765,409
4991320,1647,671
4991330,54,5
4991330,397,1
4991330,752,11
4991330,1059,956
4991330,1959,26
4991340,1136,911
4991340,1571,357
4991340,1662,677
4991360,288,592
4991360,735,554
4991370,195,106
4991370,1883,377
4991380,585,556
4991380,1115,910
4991380,1353,903
4991380,1729,469
4991390,127,95
4991390,902,480
4991390,1298,639
4991400,194,791
4991400,564,488
4991400,810,522
4991410,1859,409
4991420,85,671
4991420,709,273
4991420,1147,229
4991420,1600,371
4991420,1647,49
4991430,119,305
4991430,220,159
4991430,827,72
4991430,1360,823
4991430,1683,827
4991440,77,211
4991440,859,56
4991440,1145,877
4991450,112,750
4991450,986,33
4991450,1503,966
4991450,1709,39
4991450,1813,369
4991460,160,242
4991460,218,494
4991460,289,784
4991460,365,0
4991460,365,491
4991460,431,865
4991460,1679,26
4991470,134,657
4991470,475,623
4991470,550,887
4991470,1186,993
4991480,1468,939
4991490,212,416
4991490,722,459
4991490,1986,485
4991500,83,762
4991500,1255,153
4991500,1702,592
4991500,1724,782
4991500,1854,189
4991510,77,633
4991510,155,138
4991510,821,485
4991510,1408,933
4991520,504,670
4991520,734,920
4991530,108,123
4991530,875,549
4991530,878,712
4991540,583,826
4991540,736,523
4991540,804,292
4991540,1763,863
4991550,55,833
4991550,156,827
4991550,290,861
4991550,471,980
4991550,620,534
4991550,803,223
4991550,973,952
4991550,988,188
4991550,1007,574
4991550,1989,611
4991560,291,2
4991560,380,337
4991560,517,572
4991560,1432,879
4991560,1841,388
4991570,27,229
4991570,379,492
4991570,668,848
4991570,1314,400
4991570,1625,607
4991570,1988,252
4991580,1336,790
4991590,460,367
4991590,604,340
4991590,1786,770
4991590,1852,201
4991600,106,887
4991600,1551,441
4991610,86,981
4991610,497,857
4991610,831,462
4991610,1263,86
4991610,1700,906
4991620,1404,366
4991620,1827,505
4991620,1910,529
4991620,1944,343
4991630,849,533
4991630,1176,323
4991630,1420,887
4991640,99,606
4991640,568,930
4991640,939,84
4991640,1581,111
4991640,1615,956
4991650,457,940
4991650,499,414
4991650,572,870
4991650,1610,724
4991650,1669,587
4991660,695,88
4991660,726,823
4991660,942,344
4991660,1319,9
4991660,1391,830
4991670,56,476
4991670,112,71
4991670,208,984
4991670,597,807
4991670,711,422
4991670,1444,24
4991680,835,870
4991680,1404,837
4991680,1424,820
4991690,242,674
4991690,665,352
4991690,745,748
4991690,901,379
4991690,1260,937
4991690,1446,195
4991690,1614,592
4991690,1891,584
4991700,30,965
4991700,780,687
4991700,986,921
4991700,1552,655
4991700,1652,292
4991700,1847,214
4991710,640,498
4991710,1608,624
4991710,1988,568
4991720,3,91
4991720,1684,157
4991720,1991,694
4991730,767,530
4991730,1321,971
4991730,1790,430
4991740,320,354
4991740,506,185
4991740,957,933
4991740,1228,389
4991740,1583,161
4991750,80,613
4991750,684,264
4991750,719,76
4991750,853,751
4991750,1572,398
4991750,1861,869
4991760,79,70
4991760,526,825
4991760,1380,127
4991770,100,822
4991770,910,640
4991770,1029,621
4991770,1942,740
4991780,1128,983
4991780,1154,388
4991780,1242,796
4991780,1752,715
4991780,1814,662
4991790,1,972
4991790,476,228
4991790,1112,162
4991790,1388,434
4991800,1040,72
4991800,1362,301
4991800,1457,688
4991800,1928,467
4991810,374,298
4991810,804,842
4991810,805,886
4991810,1575,890
4991810,1854,334
4991820,119,598
4991820,149,809
4991820,1088,740
4991830,158,691
4991830,1071,590
4991830,1310,143
4991830,1703,444
4991840,192,513
4991840,272,488
4991840,370,851
4991840,580,437
4991840,691,821
4991840,1779,313
4991850,268,122
4991850,950,564
4991850,1627,263
4991860,392,447
4991860,1710,582
4991870,587,383
4991880,1653,600
4991890,394,648
4991890,622,33
4991890,856,927
4991890,1347,376
4991890,1878,381
4991890,1903,324
4991900,16,770
4991900,860,707
4991910,1226,568
4991910,1348,645
4991910,1766,992
4991920,54,457
4991920,142,644
4991920,502,305
4991920,1729,759
4991930,34,149
4991930,886,987
4991930,1261,668
4991930,1389,632
4991940,179,227
4991940,217,683
4991940,562,347
4991940,1210,735
4991940,1679,88
4991950,198,140
4991950,297,864
4991950,414,524
4991950,650,804
4991950,991,36
4991960,800,430
4991960,930,328
4991960,1352,123
4991960,1488,446
4991980,149,310
4991980,1327,511
4991980,1332,988
4991980,1798,311
4991990,532,330
4991990,1540,385
4992000,154,433
4992000,577,59
4992000,689,369
4992000,1875,592
4992010,312,503
4992010,340,221
4992010,567,116
4992010,1116,91
4992020,825,743
4992020,1526,215
4992020,1545,177
4992020,1869,55
4992020,1922,160
4992030,112,288
4992030,553,115
4992030,1224,770
4992030,1310,673
4992030,1402,481
4992030,1462,913
4992030,1960,75
4992040,124,72
4992040,153,24
4992040,594,406
4992040,813,706
4992040,1162,228
4992040,1804,999
4992050,516,412
4992050,1906,330
4992060,155,810
4992060,773,21
4992060,832,997
4992060,886,609
4992070,1017,418
4992070,1724,733
4992070,1736,528
4992080,775,338
4992080,1692,497
4992080,1825,960
4992090,415,205
4992090,613,518
4992100,646,340
4992100,1129,80
4992100,1247,754
4992100,1659,964
4992110,393,969
4992110,749,391
4992110,1070,900
4992110,1275,188
4992110,1640,485
4992120,324,79
4992120,370,603
4992120,994,674
4992120,1048,649
4992130,184,897
4992130,1608,741
4992130,1864,271
4992130,1977,155
4992140,880,229
4992140,1574,959
4992140,1709,743
4992150,1514,226
4992160,33,132
4992160,339,394
4992160,421,939
4992160,1349,272
4992160,1927,471
4992170,27,172
4992170,30,658
4992180,835,872
4992180,1590,68
4992190,1139,670
4992200,44,23
4992200,419,618
4992200,1901,997
4992210,685,146
4992210,748,638
4992210,1510,184
4992220,119,365
4992220,1078,809
4992220,1560,108
4992230,388,846
4992230,557,725
4992230,1435,954
4992230,1459,145
4992230,1898,82
4992240,912,580
4992240,1235,932
4992250,412,547
4992250,587,902
4992250,721,518
4992250,1906,799
4992260,317,341
4992260,371,592
4992260,635,859
4992260,831,725
4992260,1600,905
4992260,1626,399
4992270,111,584
4992270,741,489
4992270,781,645
4992270,1186,858
4992270,1213,876
4992270,1722,276
4992280,399,369
4992280,548,465
4992280,1023,37
4992280,1894,560
4992290,333,669
4992290,421,11
4992290,1011,120
4992290,1278,499
4992290,1917,338
4992300,335,943
4992300,457,766
4992300,1442,265
4992300,1505,178
4992300,1653,617
4992300,1902,886
4992310,353,246
4992310,848,616
4992310,1184,992
4992310,1294,448
4992310,1544,868
4992310,1877,516
4992320,1422,758
4992320,1545,602
4992330,190,188
4992330,1774,106
4992340,1259,950
4992340,1950,714
4992350,698,99
4992350,1087,237
4992350,1820,517
4992360,907,649
4992360,1813,896
4992370,170,197
4992370,638,621
4992370,1012,357
4992380,321,665
4992380,803,562
4992390,192,814
4992390,398,163
4992390,919,315
4992390,995,901
4992390,1705,317
4992400,683,117
4992410,143,950
4992410,266,349
4992410,348,232
4992410,549,298
4992410,576,41
4992410,1457,335
4992420,219,973
4992420,393,985
4992420,1966,236
4992430,246,995
4992430,1387,161
4992430,1798,507
4992440,220,962
4992440,289,303
4992440,361,932
4992440,787,614
4992440,870,507
4992440,1034,590
4992440,1496,699
4992440,1560,873
4992450,807,418
4992450,1137,973
4992450,1264,555
4992450,1367,263
4992450,1875,654
4992460,642,469
