value,page,position
1528080,1608,595
1528080,1861,329
1528080,1889,538
1528080,1925,349
1528090,238,345
1528090,458,449
1528090,541,55
1528090,1525,464
1528100,154,842
1528100,546,980
1528100,595,85
1528100,1997,809
1528110,168,656
1528110,237,145
1528110,1275,17
1528110,1692,214
1528120,63,645
1528120,258,223
1528120,638,19
1528120,687,358
1528120,1364,533
1528130,86,213
1528130,999,327
1528130,1093,468
1528130,1100,312
1528140,210,269
1528140,253,936
1528150,160,339
1528160,472,42
1528160,1187,733
1528170,193,183
1528170,715,253
1528170,963,430
1528170,1361,371
1528180,1320,385
1528180,1599,251
1528180,1636,769
1528180,1930,399
1528190,208,238
1528190,564,197
1528200,868,831
1528200,942,883
1528200,1111,549
1528200,1532,79
1528200,1703,87
1528210,1583,365
1528210,1675,661
1528220,270,940
1528220,615,244
1528230,209,93
1528230,394,772
1528230,706,593
1528230,1497,881
1528230,1595,574
1528230,1854,308
1528240,406,97
1528240,528,156
1528240,679,352
1528240,1081,874
1528240,1490,220
1528240,1915,973
1528250,616,458
1528250,682,511
1528250,872,576
1528250,981,458
1528250,1344,355
1528260,896,841
1528260,907,516
1528260,1639,387
1528260,1823,130
1528270,88,484
1528270,891,525
1528270,1571,547
1528280,922,241
1528280,925,725
1528280,1056,519
1528280,1548,204
1528280,1771,170
1528290,129,319
1528290,131,49
1528290,552,384
1528290,1699,333
1528290,1753,626
1528300,151,890
1528300,376,699
1528300,451,425
1528300,744,613
1528300,1330,418
1528310,104,514
1528310,391,128
1528310,427,968
1528310,776,810
1528310,845,115
1528310,1229,71
1528310,1296,433
1528320,123,618
1528320,1889,372
1528330,447,811
1528330,494,439
1528330,689,143
1528330,1169,521
1528330,1444,776
1528330,1936,637
1528340,408,98
1528340,710,402
1528340,1028,118
1528340,1369,730
1528340,1625,529
1528340,1765,480
1528350,110,974
1528350,550,729
1528350,553,255
1528350,642,411
1528350,705,263
1528350,752,89
1528350,1902,582
1528360,7,14
1528360,959,413
1528360,1107,670
1528360,1134,47
1528360,1336,275
1528370,1057,298
1528370,1148,637
1528370,1310,422
1528370,1683,278
1528370,1860,200
1528380,879,641
1528380,945,702
1528380,1776,443
1528390,631,544
1528390,721,437
1528390,1271,513
1528390,1541,355
1528390,1656,543
1528400,25,523
1528400,348,138
1528400,521,487
1528410,302,964
1528410,537,21
1528410,658,157
1528410,688,813
1528410,703,994
1528410,787,367
1528410,1222,603
1528410,1241,394
1528410,1506,380
1528420,280,967
1528420,1103,286
1528430,1132,285
1528440,42,309
1528440,657,557
1528440,778,342
1528450,957,910
1528450,1547,686
1528460,1532,625
1528470,266,161
1528470,1717,242
1528480,209,207
1528480,660,336
1528480,1272,131
1528480,1865,283
1528490,624,143
1528490,1594,481
1528490,1640,75
1528490,1819,75
1528490,1819,930
1528500,243,324
1528500,503,207
1528500,528,892
1528500,1353,331
1528510,278,863
1528510,495,368
1528510,1590,887
1528520,91,795
1528520,408,36
1528520,608,183
1528520,878,556
1528520,1408,524
1528520,1932,953
1528530,758,864
1528530,1203,993
1528530,1547,195
1528530,1685,446
1528540,79,4
1528540,109,994
1528540,1192,168
1528540,1238,924
1528540,1299,710
1528540,1896,519
1528550,221,355
1528550,1694,562
1528550,1915,175
1528560,541,199
1528560,674,435
1528560,1000,189
1528560,1090,955
1528570,347,293
1528580,369,193
1528580,965,933
1528580,1116,739
1528580,1191,303
1528580,1431,552
1528580,1718,975
1528590,397,220
1528590,1036,613
