value,page,position
18900000,1046,110
18900010,273,716
18900020,1877,363
18900030,1196,7
18900040,1898,175
18900050,1797,521
18900060,1315,260
18900070,447,168
18900080,1338,758
18900090,836,401
18900100,1150,120
18900110,485,373
18900120,500,534
18900130,1966,793
18900140,1822,775
18900150,1938,656
18900160,1078,346
18900170,475,331
18900180,1440,600
18900190,1276,13
18900200,1000,436
18900210,1320,232
18900220,674,827
18900230,1648,913
18900240,1340,513
18900250,1280,537
18900260,21,488
18900270,595,183
18900280,537,432
18900290,761,295
18900300,1970,947
18900310,514,192
18900320,863,613
18900330,14,617
18900340,129,840
18900350,1597,399
18900360,769,217
18900370,1841,947
18900380,912,57
18900390,1666,865
18900400,157,131
18900410,1175,135
18900420,877,91
18900430,1029,40
18900440,1162,249
18900450,1785,809
18900460,613,266
18900470,553,96
18900480,439,558
18900490,636,343
18900500,248,276
18900510,1559,179
18900520,1105,566
18900530,302,717
18900540,1310,659
18900550,1256,619
18900560,1707,164
18900570,1193,941
18900580,1850,442
18900590,383,982
18900600,57,513
18900610,615,399
18900620,649,417
18900630,390,844
18900640,1433,717
18900650,1325,628
18900660,987,946
18900670,913,413
18900680,470,699
18900690,730,0
18900700,1016,911
18900710,837,793
18900720,1064,62
18900730,775,56
18900740,311,379
18900750,930,160
18900760,558,867
18900770,313,636
18900780,1037,160
18900790,1203,152
18900800,1834,49
18900810,654,834
18900820,1149,302
18900830,598,643
18900840,467,84
18900850,1277,662
18900860,992,862
18900870,1100,969
18900880,407,474
18900890,881,557
18900900,1097,540
18900910,1003,657
18900920,835,628
18900930,138,375
18900940,1215,910
18900950,1342,239
18900960,1325,25
18900970,384,299
18900980,311,746
18900990,733,138
18901000,948,629
18901010,1985,643
18901020,127,486
18901030,147,636
18901040,1038,770
18901050,958,342
18901060,1118,996
18901070,1344,192
18901080,794,990
18901090,1224,666
18901100,791,257
18901110,1972,629
18901120,1748,491
18901130,1479,525
18901140,284,537
18901150,371,637
18901160,5,979
18901170,1855,587
18901180,1374,913
18901190,984,403
18901200,1736,603
18901210,557,179
18901220,1308,33
18901230,560,970
18901240,1536,821
18901250,982,728
18901260,1242,474
18901270,418,166
18901280,1775,929
18901290,1593,228
18901300,1855,444
18901310,742,825
18901320,393,619
18901330,1076,710
18901340,1209,299
18901350,704,354
18901360,1618,4
18901370,1557,369
18901380,108,491
18901390,1605,250
18901400,1640,777
18901410,1878,503
18901420,860,402
18901430,1683,672
18901440,1220,555
18901450,1491,233
18901460,987,818
18901470,890,265
18901480,77,328
18901490,1319,990
18901500,347,705
18901510,883,638
18901520,73,750
18901530,1067,728
18901540,1626,137
18901550,442,92
18901560,1066,673
18901570,785,972
18901580,1640,390
18901590,1184,981
18901600,1011,618
18901610,114,786
18901620,299,167
18901630,1220,768
18901640,899,15
18901650,521,337
18901660,1790,596
18901670,627,311
18901680,1956,445
18901690,655,816
18901700,1558,840
18901710,1332,875
18901720,544,141
18901730,210,597
18901740,1105,202
18901750,1602,986
18901760,463,485
18901770,1914,37
18901780,952,902
18901790,1869,332
18901800,659,909
18901810,1647,283
18901820,1330,6
18901830,1296,794
18901840,1636,335
18901850,641,20
