value,page,position
19100000,1617,269
19100010,1936,7
19100020,247,87
19100030,1241,330
19100040,1295,909
19100050,813,648
19100060,1762,101
19100070,1375,213
19100080,1866,512
19100090,707,344
19100100,258,243
19100110,1601,557
19100120,638,8
19100130,1988,705
19100140,91,690
19100150,1001,499
19100160,1886,38
19100170,212,440
19100180,107,683
19100190,1340,40
19100200,188,572
19100210,381,917
19100220,610,158
19100230,103,471
19100240,241,787
19100250,685,884
19100260,715,71
19100270,387,782
19100280,771,433
19100290,312,176
19100300,1377,718
19100310,624,896
19100320,589,117
19100330,559,252
19100340,1822,406
19100350,947,821
19100360,1614,803
19100370,1143,118
19100380,535,490
19100390,1844,796
19100400,1547,987
19100410,1614,23
19100420,728,253
19100430,985,44
19100440,847,367
19100450,140,972
19100460,1890,211
19100470,1255,966
19100480,331,782
19100490,193,792
19100500,1583,891
19100510,1941,551
19100520,746,53
19100530,736,940
19100540,444,119
19100550,201,635
19100560,848,769
19100570,1771,702
19100580,1753,991
19100590,1242,139
19100600,1053,728
19100610,1487,187
19100620,340,602
19100630,857,523
19100640,292,361
19100650,1084,399
19100660,1849,305
19100670,1522,710
19100680,146,732
19100690,1169,861
19100700,1657,866
19100710,1739,380
19100720,1309,214
19100730,1824,924
19100740,1673,475
19100750,1840,937
19100760,384,643
19100770,101,7
19100780,1639,317
19100790,1902,571
19100800,1067,320
19100810,291,622
19100820,18,88
19100830,900,505
19100840,138,600
19100850,832,953
19100860,816,444
19100870,433,479
19100880,940,968
19100890,606,233
19100900,339,735
19100910,235,69
19100920,779,196
19100930,1757,419
19100940,739,822
19100950,1477,586
19100960,1107,785
19100970,887,369
19100980,243,901
19100990,1299,16
19101000,1349,96
19101010,836,455
19101020,165,228
19101030,1560,834
19101040,783,438
19101050,1512,310
19101060,1508,946
19101070,775,662
19101080,1350,660
19101090,513,185
19101100,1782,731
19101110,596,442
19101120,1206,755
19101130,712,364
19101140,1966,679
19101150,1827,528
19101160,1407,331
19101170,618,476
19101180,207,752
19101190,1743,223
19101200,1472,758
19101210,1138,761
19101220,1563,816
19101230,1395,331
19101240,1454,412
19101250,439,490
19101260,442,994
19101270,902,439
19101280,895,738
19101290,1337,800
19101300,677,492
19101310,1774,301
19101320,1555,933
19101330,1135,589
19101340,1052,604
19101350,1295,889
19101360,360,30
19101370,824,927
19101380,199,964
19101390,175,100
19101400,762,765
19101410,84,135
19101420,1059,466
19101430,1993,264
19101440,22,784
19101450,195,481
19101460,891,851
19101470,1228,333
19101480,1161,719
19101490,1384,162
19101500,1641,448
19101510,1399,620
19101520,1841,514
19101530,1269,17
19101540,837,656
19101550,487,727
19101560,1342,231
19101570,1866,16
19101580,1371,91
19101590,1576,350
19101600,1380,823
19101610,1872,695
19101620,1080,906
19101630,184,24
19101640,78,681
19101650,1894,39
19101660,1779,49
19101670,681,592
19101680,1480,979
19101690,1962,459
19101700,606,767
19101710,1565,47
19101720,1479,331
19101730,760,587
19101740,1543,804
19101750,1356,743
19101760,842,491
19101770,1609,954
19101780,1071,829
19101790,1764,343
19101800,1560,868
19101810,712,257
19101820,551,91
19101830,180,24
19101840,1906,50
19101850,157,458
19101860,860,963
19101870,261,307
19101880,1791,875
19101890,1627,474
19101900,245,556
19101910,1982,146
19101920,1419,946
19101930,1485,495
19101940,1061,474
19101950,339,449
19101960,841,171
19101970,1329,267
19101980,1192,415
19101990,996,350
19102000,527,911
19102010,394,622
19102020,1109,517
19102030,1070,348
19102040,908,424
19102050,125,707
19102060,1645,881
19102070,1271,944
19102080,1996,691
19102090,1203,842
19102100,476,441
19102110,1730,515
19102120,1946,165
19102130,1807,400
19102140,12,634
19102150,1292,72
19102160,43,646
19102170,1361,647
19102180,1189,799
19102190,862,611
19102200,1036,215
19102210,1746,596
19102220,53,965
19102230,402,781
19102240,565,823
19102250,163,125
19102260,2,817
19102270,279,282
19102280,136,793
19102290,887,130
19102300,1909,497
19102310,1156,912
19102320,1140,97
19102330,1118,357
19102340,1083,77
19102350,921,134
19102360,1167,660
19102370,1960,784
19102380,1295,836
19102390,1826,697
19102400,852,620
19102410,297,546
19102420,1048,173
19102430,972,762
19102440,739,793
19102450,495,558
19102460,946,183
19102470,10,735
19102480,1320,418
19102490,1898,189
19102500,1109,146
19102510,1402,581
19102520,1806,567
19102530,1768,226
19102540,536,451
19102550,1871,750
19102560,747,627
19102570,2000,832
19102580,512,803
19102590,302,897
19102600,1317,792
19102610,886,193
19102620,1943,540
19102630,302,4
19102640,1064,619
19102650,777,999
19102660,872,290
19102670,630,803
19102680,1341,141
19102690,362,342
19102700,942,533
19102710,947,902
19102720,845,896
19102730,1806,580
19102740,199,715
19102750,1970,115
19102760,562,546
19102770,491,289
19102780,152,687
19102790,1651,498
19102800,1795,522
19102810,951,155
19102820,1061,318
19102830,712,328
19102840,363,736
19102850,14,102
19102860,690,104
19102870,1720,778
19102880,1407,699
19102890,642,184
19102900,303,878
19102910,1676,743
19102920,444,678
19102930,278,240
19102940,1362,60
19102950,1399,360
19102960,104,294
19102970,1857,466
19102980,527,144
19102990,409,987
19103000,1274,672
19103010,1641,974
19103020,281,231
19103030,450,32
19103040,403,649
19103050,1698,231
19103060,1933,487
19103070,206,907
19103080,1563,288
19103090,25,817
19103100,1030,852
19103110,595,790
19103120,1473,418
19103130,351,752
19103140,1302,109
19103150,1437,85
19103160,1515,505
19103170,1986,124
19103180,1101,124
19103190,1791,711
19103200,1572,670
19103210,1624,744
19103220,338,758
19103230,1183,897
19103240,510,17
19103250,666,831
19103260,1803,178
19103270,472,843
19103280,1313,655
19103290,312,324
19103300,1048,759
19103310,864,660
19103320,907,88
19103330,1855,466
19103340,990,555
19103350,1961,543
19103360,92,266
19103370,235,576
19103380,1159,131
19103390,1019,920
19103400,1293,587
19103410,826,533
19103420,190,466
19103430,1127,385
19103440,1482,789
19103450,1148,377
19103460,199,706
19103470,1525,761
19103480,1337,886
19103490,497,804
19103500,437,32
19103510,180,529
19103520,729,529
19103530,748,710
19103540,1593,599
19103550,801,409
19103560,1028,768
19103570,223,350
19103580,1043,815
19103590,915,319
19103600,712,848
19103610,1743,847
19103620,1080,969
19103630,1807,4
19103640,644,119
19103650,511,422
19103660,824,572
19103670,303,463
19103680,1625,393
19103690,910,464
19103700,1484,766
19103710,1187,535
19103720,1483,631
19103730,1108,71
19103740,1241,161
19103750,995,375
19103760,1248,795
19103770,1255,897
19103780,1715,154
19103790,1083,439
19103800,1461,845
19103810,1978,922
19103820,1675,731
19103830,683,258
19103840,1085,312
19103850,1337,723
19103860,1389,858
19103870,1400,157
19103880,398,723
19103890,1264,872
19103900,1152,644
19103910,990,153
19103920,1817,59
19103930,605,468
19103940,518,36
19103950,807,291
19103960,52,966
19103970,633,4
19103980,416,638
19103990,1429,334
19104000,750,959
19104010,148,980
19104020,56,474
19104030,424,743
19104040,1935,463
19104050,594,33
19104060,355,756
19104070,1144,68
19104080,1409,972
19104090,320,289
19104100,810,266
19104110,1016,106
19104120,1917,763
19104130,860,18
19104140,481,575
19104150,1512,412
19104160,688,123
19104170,1453,983
19104180,1061,656
19104190,905,792
19104200,1958,746
19104210,575,209
19104220,308,882
19104230,1942,498
19104240,1694,89
19104250,1288,116
19104260,835,891
19104270,1294,550
19104280,735,500
19104290,1023,932
19104300,370,97
19104310,1453,923
19104320,104,838
19104330,1031,461
19104340,1463,359
19104350,1897,981
19104360,1773,323
19104370,83,966
19104380,452,384
19104390,986,621
19104400,917,735
19104410,771,827
19104420,694,689
19104430,657,21
19104440,1846,780
19104450,456,371
19104460,277,507
19104470,1441,241
19104480,62,51
19104490,832,797
19104500,1921,447
19104510,196,950
19104520,374,211
19104530,313,813
19104540,149,807
19104550,1237,948
19104560,147,578
19104570,947,304
19104580,1796,455
19104590,409,17
19104600,368,547
19104610,565,168
19104620,1566,532
19104630,456,372
19104640,369,76
19104650,1629,640
19104660,965,915
19104670,1748,150
19104680,722,930
19104690,1323,974
19104700,1425,157
19104710,78,885
19104720,441,923
19104730,504,640
19104740,1063,293
19104750,685,985
19104760,301,504
19104770,1897,201
19104780,1325,660
19104790,15,723
19104800,735,123
19104810,1544,850
19104820,1382,508
19104830,959,688
19104840,24,280
19104850,1132,123
19104860,1860,931
19104870,741,533
19104880,310,724
19104890,1940,769
19104900,1369,158
19104910,248,408
19104920,182,603
19104930,1288,631
19104940,1478,846
19104950,1330,837
19104960,1874,970
19104970,571,855
19104980,1802,828
19104990,641,480
19105000,50,729
19105010,428,375
19105020,1113,739
19105030,231,985
19105040,1384,747
19105050,209,249
19105060,1544,53
