value,page,position
5300000,1461,922
5300010,19,958
5300020,1986,244
5300030,1107,516
5300040,1963,244
5300050,1079,367
5300060,194,719
5300070,1955,653
5300080,751,899
5300090,1032,769
5300100,1602,67
5300110,430,154
5300120,1378,203
5300130,795,956
5300140,846,599
5300150,1555,679
5300160,45,502
5300170,456,65
5300180,410,352
5300190,1740,518
5300200,527,393
5300210,1770,244
5300220,1124,147
5300230,99,40
5300240,818,493
5300250,1862,227
5300260,269,903
5300270,755,269
5300280,1166,120
5300290,939,361
5300300,1469,199
5300310,610,674
5300320,1617,636
5300330,113,117
5300340,1172,904
5300350,307,581
5300360,1960,388
5300370,578,556
5300380,73,991
5300390,3,118
5300400,358,401
5300410,465,738
5300420,1661,242
5300430,1077,98
5300440,1069,960
5300450,1027,91
5300460,1081,770
5300470,414,758
5300480,544,647
5300490,672,981
5300500,1289,996
5300510,963,846
5300520,1395,734
5300530,1060,253
5300540,669,511
5300550,1977,650
5300560,387,234
5300570,1011,751
5300580,1732,148
5300590,1108,719
5300600,777,361
5300610,1438,378
5300620,383,785
5300630,1544,112
5300640,1045,2
5300650,1469,848
5300660,1789,316
5300670,1945,881
5300680,1063,823
5300690,1576,781
5300700,330,723
5300710,1756,688
5300720,1782,411
5300730,1125,70
5300740,462,847
5300750,1175,185
5300760,907,214
5300770,946,679
5300780,287,150
5300790,1351,931
5300800,1111,356
5300810,82,65
5300820,450,366
5300830,9,821
5300840,1472,915
5300850,1764,406
5300860,1130,670
5300870,404,606
5300880,773,370
5300890,721,994
5300900,565,659
5300910,1420,97
5300920,656,633
5300930,1658,879
5300940,112,743
5300950,430,971
5300960,863,132
5300970,442,647
5300980,661,144
5300990,784,479
5301000,1061,59
5301010,859,507
5301020,144,386
5301030,1061,991
5301040,524,188
5301050,1076,134
5301060,689,31
5301070,1011,793
5301080,187,100
5301090,1493,801
5301100,1372,794
5301110,635,226
5301120,812,880
5301130,685,33
5301140,995,106
5301150,186,112
5301160,507,635
5301170,659,708
5301180,1871,100
5301190,1473,651
5301200,1332,894
5301210,1446,714
5301220,333,598
5301230,474,913
5301240,140,265
5301250,80,601
5301260,266,799
5301270,1597,328
5301280,1730,372
5301290,1361,485
5301300,1285,316
5301310,1271,237
5301320,20,71
5301330,1819,317
5301340,1384,807
5301350,1939,785
5301360,1824,967
5301370,898,76
5301380,523,50
5301390,1156,902
5301400,951,787
5301410,1450,973
5301420,545,66
5301430,1389,321
