value,page,position
2300000,602,870
2300010,552,169
2300020,636,667
2300030,1953,112
2300040,746,375
2300050,45,341
2300060,264,198
2300070,118,613
2300080,1040,969
2300090,1443,281
2300100,1666,269
2300110,1471,865
2300120,1644,226
2300130,997,921
2300140,916,499
2300150,1979,191
2300160,1787,967
2300170,604,187
2300180,1806,202
2300190,187,633
2300200,234,451
2300210,1567,225
2300220,20,656
2300230,1961,119
2300240,20,614
2300250,103,405
2300260,682,765
2300270,1807,355
2300280,918,652
2300290,1984,991
2300300,518,106
2300310,861,422
2300320,347,618
2300330,415,287
2300340,126,112
2300350,1008,812
2300360,1427,99
2300370,505,455
2300380,612,932
2300390,803,278
2300400,44,432
2300410,1437,563
2300420,1238,417
2300430,463,14
2300440,913,445
2300450,1307,267
2300460,747,245
2300470,1000,139
2300480,1343,314
2300490,1403,365
2300500,507,32
2300510,331,914
2300520,1574,134
2300530,1239,895
2300540,892,280
2300550,1230,778
2300560,1526,313
2300570,121,786
2300580,873,733
2300590,710,558
2300600,455,607
2300610,1709,446
2300620,318,558
2300630,554,296
2300640,31,683
2300650,1559,277
2300660,287,861
2300670,537,760
2300680,800,458
2300690,188,523
2300700,870,420
2300710,1486,566
2300720,669,574
2300730,1771,512
2300740,1372,764
2300750,678,718
2300760,1496,758
2300770,754,643
2300780,85,139
2300790,877,896
2300800,1763,651
2300810,1449,553
2300820,758,956
2300830,1144,622
2300840,1673,5
2300850,458,81
2300860,1152,349
2300870,1269,354
2300880,848,425
2300890,23,556
2300900,574,594
2300910,331,127
2300920,889,841
2300930,1187,829
2300940,1434,418
2300950,1442,863
2300960,1450,843
2300970,1914,317
2300980,843,938
2300990,716,527
2301000,499,958
2301010,1170,875
2301020,403,125
2301030,451,65
2301040,954,624
2301050,604,80
2301060,1001,606
2301070,1530,595
2301080,264,599
2301090,1446,348
2301100,1549,508
2301110,11,166
2301120,26,183
2301130,1918,92
2301140,77,79
2301150,1959,587
2301160,1267,662
2301170,1907,539
2301180,193,95
2301190,750,121
2301200,106,310
2301210,444,151
2301220,1550,309
2301230,203,527
2301240,1794,855
2301250,302,631
2301260,1535,681
2301270,1497,581
2301280,1741,721
2301290,678,301
