value,page,position
4200000,1806,111
4200010,1192,995
4200020,32,600
4200030,69,390
4200040,823,471
4200050,1763,168
4200060,1093,420
4200070,859,375
4200080,1221,974
4200090,1939,987
4200100,159,833
4200110,1565,404
4200120,551,100
4200130,235,804
4200140,785,368
4200150,1559,558
4200160,1959,918
4200170,1652,315
4200180,1060,49
4200190,71,943
4200200,97,483
4200210,810,625
4200220,187,453
4200230,21,312
4200240,489,622
4200250,1454,657
4200260,600,270
4200270,443,348
4200280,1898,448
4200290,263,737
4200300,1764,624
4200310,874,57
4200320,1822,126
4200330,858,929
4200340,975,304
4200350,1135,24
4200360,381,953
4200370,1969,451
4200380,1071,891
4200390,1284,831
4200400,779,788
4200410,438,557
4200420,1318,915
4200430,1041,278
4200440,1217,663
4200450,40,467
4200460,829,524
4200470,501,458
4200480,1368,745
4200490,847,328
4200500,294,292
4200510,41,389
4200520,636,82
4200530,1268,139
4200540,1263,193
4200550,598,766
4200560,1603,488
4200570,56,894
4200580,547,900
4200590,758,460
4200600,566,742
4200610,216,74
4200620,216,145
4200630,1882,524
4200640,1118,200
4200650,1868,952
4200660,14,536
4200670,478,773
4200680,1923,502
4200690,272,382
4200700,959,288
4200710,1831,23
4200720,182,465
4200730,1596,466
4200740,1090,283
4200750,791,930
4200760,1498,807
4200770,476,73
4200780,95,4
4200790,696,432
4200800,1740,96
4200810,492,135
4200820,452,274
4200830,1566,805
4200840,1768,38
4200850,1124,180
4200860,337,775
4200870,1673,503
4200880,1267,493
4200890,1066,942
4200900,5,360
4200910,694,51
4200920,368,924
4200930,528,212
4200940,642,743
4200950,1183,866
4200960,1664,908
4200970,837,390
4200980,716,740
4200990,1788,381
4201000,1425,604
4201010,334,395
4201020,1813,391
4201030,152,723
4201040,113,825
4201050,1625,447
4201060,15,328
4201070,163,335
4201080,676,668
4201090,1153,829
4201100,29,601
4201110,899,796
4201120,7,320
4201130,1534,184
4201140,719,775
4201150,99,615
4201160,922,639
4201170,1884,681
4201180,1958,347
4201190,1592,651
4201200,218,19
4201210,968,623
4201220,1993,727
4201230,469,888
4201240,1187,735
4201250,820,421
4201260,715,651
4201270,428,581
4201280,1258,18
4201290,830,456
4201300,1011,230
4201310,979,269
4201320,413,370
4201330,1735,332
4201340,280,498
4201350,1337,724
4201360,1378,517
4201370,1265,225
4201380,978,444
4201390,829,166
4201400,837,560
4201410,399,614
4201420,1560,940
4201430,315,335
4201440,47,983
4201450,50,375
4201460,1708,772
4201470,216,884
4201480,552,284
4201490,1987,140
4201500,1503,735
4201510,1877,291
4201520,1310,993
4201530,534,730
4201540,867,242
4201550,1250,764
4201560,91,238
4201570,363,822
4201580,1736,231
4201590,426,593
4201600,73,80
4201610,235,123
4201620,1580,455
4201630,1601,698
4201640,1897,472
4201650,1531,397
4201660,1759,963
4201670,1945,607
4201680,1882,330
4201690,204,337
4201700,518,668
4201710,1657,34
4201720,1253,733
4201730,882,312
4201740,1387,986
4201750,1186,907
4201760,544,582
4201770,1412,727
4201780,1507,429
4201790,582,696
4201800,667,54
4201810,853,298
4201820,1228,667
4201830,1726,858
4201840,1243,820
4201850,1746,921
4201860,935,163
4201870,1402,222
4201880,249,542
4201890,1357,166
4201900,441,561
4201910,1462,130
4201920,1166,930
4201930,1859,445
4201940,584,949
4201950,1184,939
4201960,1891,615
4201970,380,871
4201980,1208,306
4201990,453,529
4202000,1351,285
4202010,1047,898
4202020,297,730
4202030,1279,174
4202040,1771,664
4202050,462,21
4202060,1893,91
4202070,656,117
4202080,652,830
4202090,34,579
4202100,1626,380
4202110,926,290
4202120,1844,619
4202130,749,879
4202140,77,326
4202150,840,542
4202160,1437,736
4202170,423,212
4202180,370,166
4202190,260,393
4202200,1932,840
4202210,1269,731
4202220,424,420
4202230,1839,357
4202240,535,456
4202250,1931,674
4202260,1059,321
4202270,1118,104
4202280,1726,663
4202290,372,486
4202300,1181,985
4202310,1581,428
4202320,1580,912
4202330,723,34
4202340,869,714
4202350,1101,3
4202360,902,223
4202370,1466,428
4202380,906,103
