value,page,position
15400000,1426,293
15400010,69,416
15400020,1276,55
15400030,621,851
15400040,1155,607
15400050,905,487
15400060,531,106
15400070,298,294
15400080,1933,555
15400090,675,797
15400100,15,94
15400110,409,200
15400120,504,762
15400130,315,558
15400140,494,369
15400150,1965,76
15400160,587,387
15400170,1037,799
15400180,1839,221
15400190,1176,300
15400200,1273,293
15400210,1538,561
15400220,1761,426
15400230,180,842
15400240,1827,378
15400250,1878,845
15400260,861,738
15400270,1480,319
15400280,518,661
15400290,1930,286
15400300,1780,820
15400310,1343,471
15400320,836,427
15400330,261,5
15400340,473,525
15400350,228,453
15400360,1262,63
15400370,1864,203
15400380,588,831
15400390,1889,737
15400400,1391,912
15400410,1133,522
15400420,1661,519
15400430,323,443
15400440,640,36
15400450,689,653
15400460,1508,378
15400470,655,620
15400480,897,766
15400490,984,505
15400500,815,602
15400510,1982,545
15400520,117,307
15400530,596,329
15400540,1594,954
15400550,511,636
15400560,406,70
15400570,1852,226
15400580,476,203
15400590,141,405
15400600,1219,822
15400610,505,135
15400620,1124,472
15400630,1734,673
15400640,1803,24
15400650,439,768
15400660,949,584
15400670,87,788
15400680,293,786
15400690,1957,468
15400700,1395,905
15400710,1515,185
15400720,1645,128
15400730,828,762
15400740,1625,125
15400750,886,46
15400760,237,35
15400770,1401,755
15400780,1461,279
15400790,1519,204
15400800,1624,364
15400810,332,478
15400820,332,319
15400830,1904,15
15400840,219,126
15400850,493,376
15400860,586,740
15400870,1411,889
15400880,69,686
15400890,995,286
15400900,1651,191
15400910,1027,448
15400920,1739,164
15400930,1792,45
15400940,331,758
15400950,374,773
15400960,84,465
15400970,1078,550
15400980,785,239
15400990,1098,362
15401000,536,642
15401010,1312,883
15401020,889,27
15401030,978,201
15401040,638,14
15401050,446,739
15401060,1279,338
15401070,1622,5
15401080,1547,830
15401090,447,236
15401100,1719,211
15401110,1572,125
15401120,1183,609
15401130,905,960
15401140,190,902
15401150,1670,46
15401160,826,814
15401170,612,745
15401180,766,851
15401190,1060,28
15401200,719,605
15401210,1515,316
15401220,1962,225
15401230,974,907
15401240,1164,670
15401250,1212,199
15401260,1581,476
15401270,853,366
15401280,1173,482
15401290,343,221
15401300,556,181
15401310,1260,302
15401320,171,77
15401330,1830,820
15401340,1745,411
15401350,214,622
15401360,1882,997
15401370,235,985
15401380,1106,161
15401390,1012,744
15401400,1964,16
15401410,940,482
15401420,884,485
15401430,1689,99
15401440,1539,268
15401450,893,615
15401460,868,670
15401470,1187,714
15401480,427,783
15401490,364,607
15401500,1706,101
15401510,1527,864
15401520,490,527
15401530,1576,765
15401540,1575,460
15401550,245,798
15401560,475,193
15401570,1480,870
15401580,345,795
15401590,954,756
15401600,741,292
15401610,1809,313
15401620,1680,254
15401630,1547,180
15401640,1060,54
15401650,514,381
15401660,1248,404
15401670,12,282
15401680,1757,472
15401690,1845,410
15401700,662,752
15401710,679,983
15401720,676,929
15401730,1883,505
15401740,1220,101
15401750,552,470
15401760,1870,630
15401770,1490,920
15401780,982,301
15401790,501,630
15401800,1226,942
15401810,921,880
15401820,714,280
15401830,1217,74
15401840,1389,210
15401850,220,86
15401860,489,974
15401870,335,95
15401880,684,696
15401890,233,941
15401900,1919,259
15401910,1821,543
15401920,767,769
15401930,1733,998
15401940,362,589
15401950,1510,606
15401960,1876,809
15401970,1541,145
15401980,369,935
15401990,390,142
15402000,1490,471
15402010,867,419
15402020,963,545
15402030,1681,475
15402040,138,923
15402050,1842,142
15402060,1397,267
15402070,1928,975
15402080,880,265
15402090,1070,77
15402100,792,354
15402110,1105,327
15402120,1641,925
15402130,1727,404
15402140,116,627
15402150,409,22
15402160,564,370
15402170,1005,908
15402180,1611,347
15402190,902,749
15402200,1527,668
15402210,579,781
15402220,1633,563
15402230,1142,347
15402240,1063,509
15402250,826,478
15402260,1498,336
15402270,445,96
15402280,868,14
15402290,665,206
15402300,707,976
15402310,1442,501
15402320,1674,801
15402330,543,211
15402340,1994,806
15402350,316,360
15402360,596,730
15402370,840,598
15402380,1039,739
15402390,56,522
15402400,1993,907
15402410,901,573
15402420,987,496
15402430,342,718
15402440,1514,671
15402450,1011,834
15402460,311,636
15402470,183,942
15402480,416,647
15402490,1112,988
