value,page,position
6200000,1414,151
6200010,1737,492
6200020,1307,969
6200030,1131,127
6200040,1080,35
6200050,85,719
6200060,1931,599
6200070,256,861
6200080,403,110
6200090,537,823
6200100,380,169
6200110,177,715
6200120,361,510
6200130,730,562
6200140,60,329
6200150,1152,615
6200160,1706,18
6200170,1579,312
6200180,1029,935
6200190,1723,735
6200200,1653,68
6200210,1183,222
6200220,956,59
6200230,649,379
6200240,139,282
6200250,172,895
6200260,1008,447
6200270,1199,898
6200280,1694,734
6200290,1677,937
6200300,1934,200
6200310,463,979
6200320,297,902
6200330,811,28
6200340,721,80
6200350,1183,112
6200360,729,763
6200370,1929,704
6200380,1299,345
6200390,239,770
6200400,936,712
6200410,915,625
6200420,965,331
6200430,1930,551
6200440,625,921
6200450,973,48
6200460,1663,338
6200470,1645,897
6200480,1455,521
6200490,353,987
6200500,1831,639
6200510,439,351
6200520,1913,106
6200530,1722,492
6200540,1277,150
6200550,1393,337
6200560,403,292
6200570,1629,261
6200580,1036,703
6200590,716,519
6200600,1958,401
6200610,1454,775
6200620,1985,910
6200630,256,421
6200640,1219,174
6200650,929,181
6200660,813,66
6200670,609,539
6200680,548,24
6200690,586,981
6200700,1978,964
6200710,640,519
6200720,1271,152
6200730,1134,424
6200740,1165,511
6200750,133,733
6200760,1837,107
6200770,1055,136
6200780,835,149
6200790,663,186
6200800,505,597
6200810,298,643
6200820,1297,873
6200830,1686,84
6200840,1860,779
6200850,601,936
6200860,912,74
6200870,411,411
6200880,1326,773
6200890,719,295
6200900,283,840
6200910,1725,836
6200920,1055,337
6200930,1296,11
6200940,491,996
6200950,1016,123
6200960,297,22
6200970,735,275
6200980,1197,753
6200990,967,486
6201000,376,791
6201010,447,693
6201020,1129,908
6201030,123,771
6201040,1842,281
6201050,117,93
6201060,822,386
6201070,281,895
6201080,187,908
6201090,398,310
6201100,1467,926
6201110,1578,853
6201120,5,685
6201130,1008,139
6201140,1369,1
6201150,1329,670
6201160,998,135
6201170,862,416
6201180,1380,942
6201190,1738,963
6201200,151,227
6201210,1563,580
6201220,1202,69
6201230,948,564
6201240,92,488
6201250,1566,692
6201260,1128,596
6201270,1599,387
6201280,1180,498
6201290,404,225
6201300,1076,151
6201310,1981,389
6201320,1799,152
6201330,1674,621
6201340,354,935
6201350,1757,976
6201360,691,239
6201370,806,430
6201380,1171,709
6201390,1164,179
6201400,143,962
6201410,976,839
6201420,211,688
6201430,282,494
6201440,1422,302
6201450,337,244
6201460,1230,716
6201470,1739,627
6201480,1840,91
6201490,1538,332
6201500,109,524
6201510,560,378
6201520,1954,602
6201530,1609,783
6201540,1095,591
6201550,512,106
6201560,161,212
6201570,1754,376
6201580,979,107
6201590,109,509
6201600,275,470
6201610,1051,638
6201620,613,947
6201630,290,73
6201640,1746,623
6201650,1128,160
6201660,865,489
6201670,973,124
6201680,118,467
6201690,1105,41
6201700,1215,994
6201710,881,578
6201720,1009,880
6201730,1684,970
6201740,270,120
6201750,1192,172
6201760,1083,228
6201770,152,24
6201780,1745,510
6201790,1630,590
6201800,1329,664
6201810,418,180
6201820,568,244
6201830,570,864
6201840,1094,222
6201850,1504,610
6201860,588,535
6201870,32,12
6201880,176,608
6201890,387,655
6201900,728,866
6201910,1421,408
6201920,1948,27
6201930,1817,666
6201940,1104,70
6201950,989,349
6201960,44,48
6201970,97,296
6201980,739,207
6201990,1429,155
6202000,1598,767
6202010,90,571
6202020,865,478
6202030,1813,469
6202040,5,327
6202050,219,59
6202060,773,184
6202070,1364,297
6202080,1409,391
6202090,645,223
6202100,776,580
6202110,1896,331
6202120,1206,52
6202130,1717,374
6202140,1349,16
