value,page,position
8400000,1998,289
8400010,1436,810
8400020,1417,356
8400030,1239,603
8400040,233,880
8400050,1754,968
8400060,609,952
8400070,1962,586
8400080,689,143
8400090,336,390
8400100,703,179
8400110,516,663
8400120,91,384
8400130,1828,104
8400140,1128,165
8400150,786,882
8400160,536,524
8400170,1016,261
8400180,198,120
8400190,1984,981
8400200,622,592
8400210,1584,230
8400220,1542,406
8400230,150,699
8400240,1118,201
8400250,877,990
8400260,393,474
8400270,1520,759
8400280,1372,626
8400290,1848,461
8400300,806,982
8400310,1660,145
8400320,359,881
8400330,1261,533
8400340,1344,945
8400350,289,117
8400360,1821,557
8400370,1938,330
8400380,610,120
8400390,1152,324
8400400,1023,955
8400410,1406,454
8400420,274,484
8400430,931,33
8400440,1411,852
8400450,642,744
8400460,1146,189
8400470,1160,723
8400480,174,51
8400490,1993,920
8400500,360,851
8400510,706,561
8400520,1785,940
8400530,1927,254
8400540,1449,940
8400550,384,103
8400560,250,333
8400570,1841,215
8400580,1885,106
8400590,540,858
8400600,1116,734
8400610,1845,731
8400620,686,704
8400630,1033,907
8400640,1053,699
8400650,181,862
8400660,1724,23
8400670,926,250
8400680,270,231
8400690,1733,22
8400700,221,940
8400710,1122,41
8400720,10,653
8400730,1756,397
8400740,662,640
8400750,1181,688
8400760,1372,407
8400770,1284,753
8400780,1071,849
8400790,883,666
8400800,1091,111
8400810,1503,960
8400820,228,244
8400830,1091,233
8400840,1935,840
8400850,530,598
8400860,322,353
8400870,1485,581
8400880,1469,687
8400890,50,455
8400900,1954,737
8400910,1156,857
8400920,772,657
8400930,498,869
8400940,1029,212
8400950,1061,426
8400960,1958,359
8400970,1531,664
8400980,1381,286
8400990,564,714
8401000,967,497
8401010,756,490
8401020,272,990
8401030,1979,140
8401040,142,946
8401050,431,602
8401060,110,251
8401070,1607,40
8401080,1462,48
8401090,1744,670
8401100,1402,84
8401110,655,215
8401120,634,306
8401130,1619,194
8401140,1019,677
8401150,1596,453
8401160,592,306
8401170,402,493
8401180,470,734
8401190,231,596
8401200,170,798
8401210,583,332
8401220,879,514
8401230,1188,759
8401240,2000,151
8401250,924,250
8401260,1207,383
8401270,1570,873
8401280,1857,645
8401290,259,841
8401300,889,206
8401310,199,637
8401320,357,129
8401330,1095,530
8401340,422,70
8401350,1212,996
8401360,54,447
8401370,1811,329
8401380,359,770
8401390,1674,909
8401400,1902,60
8401410,641,743
8401420,500,571
8401430,1952,763
8401440,1968,236
8401450,878,480
8401460,1957,648
8401470,323,908
8401480,175,56
8401490,1681,778
8401500,1605,401
8401510,850,313
8401520,955,374
8401530,33,296
8401540,213,702
8401550,590,545
8401560,304,177
8401570,1842,505
8401580,1344,389
8401590,1357,308
8401600,684,158
8401610,1803,626
8401620,26,976
8401630,986,699
8401640,1484,556
8401650,1303,18
8401660,1767,305
8401670,1312,174
8401680,1609,576
8401690,1140,457
8401700,802,845
8401710,136,567
8401720,283,563
8401730,12,931
8401740,204,99
8401750,440,348
8401760,950,859
8401770,311,881
8401780,1744,410
8401790,1740,91
8401800,636,300
8401810,1292,710
8401820,79,637
8401830,1865,729
8401840,1542,566
8401850,1862,882
8401860,535,366
8401870,1544,994
8401880,1400,587
8401890,739,916
8401900,672,555
8401910,586,426
8401920,822,273
8401930,1330,176
8401940,1673,981
8401950,305,446
8401960,409,202
8401970,795,320
8401980,1512,732
8401990,1736,113
8402000,1038,938
8402010,1992,995
8402020,241,612
8402030,780,243
8402040,403,191
8402050,713,749
8402060,1286,551
8402070,1416,419
8402080,889,736
8402090,1416,595
8402100,311,258
8402110,1432,454
8402120,1503,790
8402130,1071,264
8402140,1905,745
8402150,348,976
8402160,1534,262
8402170,1298,219
8402180,772,214
8402190,1108,381
8402200,2000,876
8402210,509,401
8402220,1818,156
8402230,1853,835
8402240,1281,888
8402250,1718,421
8402260,1770,50
8402270,1543,417
8402280,708,588
8402290,640,147
8402300,1732,747
8402310,323,603
8402320,1773,195
8402330,1293,633
8402340,1883,759
8402350,734,89
8402360,1481,363
8402370,651,197
8402380,950,462
8402390,1248,566
8402400,391,183
8402410,258,666
8402420,1789,477
8402430,1494,830
8402440,1671,247
8402450,1942,219
8402460,388,815
8402470,325,66
8402480,563,657
8402490,1002,260
8402500,849,979
8402510,1790,343
8402520,1473,860
8402530,1764,255
8402540,1581,521
8402550,159,172
8402560,1330,987
8402570,787,15
8402580,1419,888
8402590,1026,346
8402600,1966,859
8402610,423,169
8402620,1943,902
8402630,1945,925
8402640,805,194
8402650,286,606
8402660,501,85
8402670,1782,648
8402680,1618,158
8402690,1767,449
8402700,660,447
8402710,429,4
8402720,1405,99
8402730,1884,385
8402740,1341,200
8402750,1397,940
8402760,1350,616
8402770,1357,9
8402780,1478,102
8402790,1124,808
8402800,326,597
8402810,783,620
8402820,151,74
8402830,351,431
8402840,1049,775
8402850,1969,377
8402860,842,266
8402870,861,67
8402880,1835,265
8402890,1517,48
8402900,1671,506
8402910,823,605
8402920,1837,519
8402930,410,25
8402940,714,519
8402950,403,465
8402960,872,593
8402970,900,60
8402980,1272,205
8402990,1598,510
8403000,142,360
8403010,150,532
8403020,1360,934
8403030,1525,602
8403040,601,660
8403050,574,93
8403060,1926,510
8403070,529,854
8403080,678,415
8403090,1610,536
8403100,327,262
8403110,15,160
8403120,137,379
8403130,1518,206
8403140,194,516
8403150,856,957
8403160,1313,203
8403170,1760,719
8403180,1451,120
8403190,1969,453
8403200,869,605
8403210,93,627
8403220,1611,310
8403230,77,771
8403240,1228,297
8403250,401,853
8403260,1290,194
8403270,1842,344
8403280,1562,77
8403290,1367,664
8403300,97,193
8403310,1657,558
8403320,1052,300
8403330,1706,507
8403340,308,244
8403350,662,766
8403360,1209,653
8403370,207,988
8403380,1648,622
8403390,512,729
8403400,629,558
8403410,1038,408
8403420,1241,256
8403430,1895,743
8403440,305,914
8403450,102,607
8403460,1410,682
8403470,391,650
8403480,1366,270
8403490,1160,857
8403500,1179,873
8403510,768,875
8403520,1226,380
8403530,188,825
8403540,858,838
8403550,933,278
8403560,643,59
8403570,1883,312
8403580,1487,898
8403590,619,959
8403600,119,391
8403610,1364,875
8403620,340,910
8403630,358,560
8403640,166,454
8403650,1770,429
8403660,1955,253
8403670,1649,200
8403680,1536,736
8403690,1188,812
8403700,512,292
8403710,931,870
8403720,202,588
8403730,218,850
8403740,1328,635
8403750,594,966
8403760,1316,375
8403770,164,196
8403780,1079,580
8403790,1420,869
8403800,969,100
8403810,1382,53
8403820,1149,486
8403830,1635,451
8403840,14,769
8403850,385,593
8403860,1784,707
8403870,1237,678
8403880,681,314
8403890,408,927
