value,page,position
12800000,90,25
12800010,1130,244
12800020,1420,598
12800030,431,204
12800040,1346,210
12800050,321,374
12800060,769,256
12800070,251,778
12800080,56,702
12800090,1711,57
12800100,349,203
12800110,1474,191
12800120,1319,756
12800130,936,548
12800140,1367,872
12800150,387,515
12800160,416,307
12800170,643,767
12800180,1982,640
12800190,1749,279
12800200,391,934
12800210,1221,638
12800220,546,161
12800230,189,447
12800240,636,374
12800250,1692,897
12800260,601,972
12800270,1572,398
12800280,1901,849
12800290,1234,172
12800300,51,934
12800310,406,753
12800320,415,228
12800330,1913,408
12800340,4,891
12800350,1353,578
12800360,1231,132
12800370,1130,425
12800380,1521,721
12800390,647,204
12800400,1638,474
12800410,652,875
12800420,946,947
12800430,543,133
12800440,1788,5
12800450,460,132
12800460,617,404
12800470,773,195
12800480,1949,522
12800490,1071,897
12800500,263,995
12800510,247,536
12800520,1343,112
12800530,846,674
12800540,701,939
12800550,31,686
12800560,1293,689
12800570,1463,252
12800580,1629,635
12800590,982,239
12800600,719,809
12800610,412,837
12800620,1745,242
12800630,1982,664
12800640,1274,267
12800650,93,17
12800660,1789,424
12800670,450,225
12800680,992,935
12800690,1128,353
12800700,1136,285
12800710,811,538
12800720,1477,629
12800730,1773,96
12800740,1834,304
12800750,853,43
12800760,550,877
12800770,418,630
12800780,412,254
12800790,1174,621
12800800,1476,454
12800810,1713,450
12800820,1158,220
12800830,1238,469
12800840,388,424
12800850,1915,320
12800860,1081,516
12800870,1272,887
12800880,241,820
12800890,418,292
12800900,2,76
12800910,826,145
12800920,408,36
12800930,332,74
12800940,1337,379
12800950,1955,192
12800960,205,620
12800970,1663,744
12800980,1276,867
12800990,43,685
12801000,1736,244
12801010,479,725
12801020,954,291
12801030,113,872
12801040,1702,918
12801050,218,648
12801060,168,984
12801070,1729,486
12801080,1589,500
12801090,802,268
12801100,1058,459
12801110,1783,903
12801120,1124,487
12801130,1695,764
12801140,443,955
12801150,954,4
12801160,1357,514
12801170,517,768
12801180,1184,690
12801190,619,306
12801200,1875,329
12801210,568,300
12801220,536,452
12801230,319,566
12801240,857,797
12801250,1281,823
12801260,335,504
12801270,1739,561
12801280,858,302
12801290,34,100
12801300,1223,60
12801310,150,31
12801320,453,552
12801330,705,776
12801340,789,117
12801350,1615,173
12801360,1465,661
12801370,1979,536
12801380,657,50
12801390,1023,129
12801400,1934,72
12801410,872,459
12801420,1550,124
12801430,423,348
12801440,1577,744
12801450,103,166
12801460,1900,260
12801470,1208,269
12801480,1246,749
12801490,5,709
12801500,168,307
12801510,37,905
12801520,65,373
12801530,1719,688
12801540,506,156
12801550,136,383
12801560,751,376
12801570,252,118
12801580,1647,122
12801590,864,258
12801600,1167,997
12801610,1123,519
12801620,132,101
12801630,174,530
12801640,392,260
12801650,1142,633
12801660,1949,863
12801670,867,424
12801680,1065,208
12801690,914,698
12801700,171,949
12801710,599,814
12801720,665,578
12801730,943,513
12801740,759,867
12801750,1824,332
12801760,1405,329
12801770,1969,446
12801780,535,145
12801790,1331,570
12801800,1326,630
12801810,32,344
12801820,1659,485
12801830,1077,105
12801840,833,565
12801850,255,361
12801860,1324,117
12801870,217,783
12801880,1169,15
12801890,1394,703
12801900,1643,36
12801910,1916,717
12801920,170,109
12801930,119,658
12801940,204,793
12801950,1562,317
12801960,114,746
12801970,779,617
12801980,1726,962
12801990,585,472
12802000,1138,756
12802010,1894,57
12802020,98,105
12802030,1518,232
12802040,998,507
12802050,1056,641
12802060,1804,643
12802070,83,378
12802080,488,992
12802090,1925,235
12802100,627,793
12802110,1556,215
12802120,427,995
12802130,1681,840
12802140,1954,215
12802150,1758,576
12802160,1859,108
12802170,1137,730
12802180,287,279
12802190,680,928
12802200,195,688
12802210,1701,894
12802220,757,411
12802230,1510,942
12802240,1535,740
12802250,1958,187
12802260,1543,462
12802270,1214,758
12802280,1728,346
12802290,641,525
12802300,442,762
12802310,473,763
12802320,1258,800
12802330,1986,53
12802340,56,780
12802350,1619,58
12802360,786,427
12802370,314,903
12802380,1142,518
12802390,1141,104
12802400,31,229
12802410,1538,69
12802420,1179,905
12802430,1240,734
12802440,200,975
12802450,1068,277
12802460,1213,164
12802470,881,757
12802480,608,154
12802490,951,521
12802500,1818,580
12802510,1840,265
12802520,626,862
12802530,289,291
12802540,1388,623
12802550,672,598
12802560,35,207
12802570,1164,928
12802580,545,244
12802590,89,433
12802600,489,480
12802610,1225,605
12802620,1387,890
12802630,542,414
12802640,918,430
12802650,944,82
12802660,1919,396
12802670,1774,207
12802680,461,553
12802690,99,844
12802700,1514,724
12802710,1628,621
12802720,568,656
12802730,364,78
12802740,18,694
12802750,56,996
12802760,1649,303
12802770,990,828
12802780,1997,5
12802790,75,873
12802800,1862,274
12802810,1547,513
12802820,1707,387
12802830,1933,135
12802840,1310,987
12802850,1345,59
12802860,1689,917
12802870,60,694
12802880,556,27
12802890,1047,957
12802900,41,656
12802910,1342,406
12802920,223,544
12802930,306,92
12802940,464,987
12802950,584,73
12802960,1830,107
12802970,1222,227
12802980,561,870
12802990,1409,744
12803000,583,801
12803010,727,839
12803020,312,610
12803030,1985,991
12803040,1407,698
12803050,236,757
12803060,665,451
12803070,264,956
