value,page,position
15500000,1371,544
15500010,150,814
15500020,1260,369
15500030,1312,97
15500040,218,453
15500050,1309,682
15500060,830,397
15500070,1315,443
15500080,600,532
15500090,453,280
15500100,735,942
15500110,1130,876
15500120,410,73
15500130,265,728
15500140,1076,304
15500150,964,279
15500160,1361,833
15500170,1554,667
15500180,1579,953
15500190,1509,620
15500200,480,918
15500210,1150,924
15500220,1711,678
15500230,666,425
15500240,31,377
15500250,1604,291
15500260,850,579
15500270,354,219
15500280,1973,828
15500290,1628,867
15500300,1208,138
15500310,454,672
15500320,1741,494
15500330,496,298
15500340,1454,980
15500350,593,220
15500360,275,439
15500370,640,290
15500380,124,818
15500390,91,29
15500400,1228,191
15500410,717,644
15500420,1556,637
15500430,1657,943
15500440,354,593
15500450,923,528
15500460,842,710
15500470,1911,122
15500480,637,417
15500490,1001,759
15500500,1359,931
15500510,1582,920
15500520,60,456
15500530,409,232
15500540,1420,25
15500550,949,600
15500560,1950,440
15500570,742,291
15500580,217,133
15500590,671,647
15500600,537,737
15500610,494,752
15500620,484,547
15500630,513,875
15500640,1853,448
15500650,336,42
15500660,862,366
15500670,814,405
15500680,13,763
15500690,1859,833
15500700,1186,227
15500710,1247,157
15500720,1870,792
15500730,905,590
15500740,410,634
15500750,934,277
15500760,1227,199
15500770,445,857
15500780,1811,294
15500790,1683,185
15500800,1792,96
15500810,767,112
15500820,1598,54
15500830,1650,473
15500840,724,729
15500850,1419,843
15500860,523,172
15500870,330,790
15500880,1561,354
15500890,1927,245
15500900,1665,302
15500910,1082,39
15500920,1336,14
15500930,1866,143
15500940,1428,495
15500950,383,219
15500960,303,491
15500970,1388,95
15500980,226,287
15500990,1874,136
15501000,79,400
15501010,1171,133
15501020,1628,73
15501030,200,310
15501040,1229,224
15501050,950,815
15501060,1829,192
15501070,1586,668
15501080,34,83
15501090,1940,604
15501100,1430,48
15501110,312,519
15501120,1378,451
15501130,1363,551
15501140,110,18
15501150,483,309
15501160,129,197
15501170,1465,303
15501180,1053,772
15501190,1303,39
15501200,758,63
15501210,1219,132
15501220,1665,900
15501230,1866,938
15501240,944,664
15501250,793,530
15501260,1773,157
15501270,1054,666
15501280,332,917
15501290,912,865
15501300,1309,334
15501310,1362,873
15501320,1367,428
15501330,1003,770
15501340,1323,598
15501350,1954,521
15501360,243,763
15501370,313,352
15501380,1073,28
15501390,1723,829
15501400,903,146
15501410,1538,299
15501420,894,151
15501430,1908,311
15501440,866,742
15501450,1917,222
15501460,1059,539
15501470,1707,790
15501480,263,327
15501490,1688,874
15501500,332,505
15501510,455,855
15501520,1486,240
15501530,43,542
15501540,859,447
15501550,12,944
15501560,1746,533
15501570,982,937
15501580,1624,911
15501590,383,9
15501600,1515,775
15501610,655,274
15501620,520,814
15501630,624,1
15501640,1527,641
15501650,47,187
15501660,569,102
15501670,617,240
15501680,1432,366
15501690,1342,900
15501700,820,664
15501710,1974,234
15501720,667,700
15501730,1693,3
15501740,1167,758
15501750,1060,4
15501760,14,958
15501770,1847,156
15501780,830,306
15501790,688,11
15501800,230,102
15501810,1819,955
15501820,1392,956
15501830,630,981
15501840,475,469
15501850,173,783
15501860,1224,307
15501870,1744,401
15501880,586,541
15501890,245,89
15501900,463,792
15501910,299,608
15501920,271,16
15501930,1573,3
15501940,643,419
15501950,617,886
15501960,1093,676
15501970,1070,999
15501980,1757,849
15501990,689,476
15502000,795,375
15502010,1637,734
15502020,1791,956
15502030,382,69
15502040,74,818
15502050,1317,374
15502060,1293,821
15502070,550,377
15502080,1102,169
15502090,600,271
15502100,607,898
15502110,1288,585
15502120,145,208
15502130,418,547
15502140,954,285
15502150,717,391
15502160,1152,613
15502170,996,711
15502180,507,381
15502190,1347,186
15502200,1154,604
15502210,969,872
15502220,924,830
15502230,696,751
15502240,1815,537
15502250,93,674
15502260,1379,727
15502270,832,651
15502280,1621,155
15502290,220,298
15502300,1727,238
15502310,1079,505
15502320,920,655
15502330,1533,821
15502340,184,396
15502350,1312,315
15502360,1683,485
15502370,1113,474
15502380,391,108
15502390,1357,895
15502400,1738,960
15502410,517,228
15502420,237,360
15502430,1424,249
15502440,357,59
15502450,1027,709
15502460,1159,708
15502470,1987,826
15502480,1063,517
15502490,749,711
15502500,971,256
15502510,48,546
15502520,1000,696
15502530,497,598
15502540,1374,397
15502550,1876,979
15502560,518,770
15502570,574,666
15502580,799,625
15502590,1110,400
15502600,1249,705
15502610,1063,405
15502620,579,535
15502630,529,266
15502640,326,326
15502650,1501,411
15502660,1217,391
15502670,715,22
15502680,1499,938
15502690,567,98
15502700,303,225
15502710,1224,622
15502720,125,854
15502730,565,902
15502740,894,810
15502750,1420,56
15502760,485,71
15502770,529,24
15502780,1267,271
15502790,1455,327
15502800,751,585
15502810,1464,918
15502820,1767,849
15502830,1121,879
15502840,1633,251
15502850,701,143
15502860,1584,776
15502870,551,831
15502880,1727,688
15502890,296,779
15502900,889,56
15502910,182,481
15502920,19,140
15502930,534,296
15502940,1323,609
15502950,898,941
15502960,751,998
15502970,729,827
15502980,1890,755
15502990,658,562
15503000,680,223
15503010,1296,626
15503020,1705,119
15503030,1367,875
15503040,53,123
15503050,450,948
15503060,722,658
15503070,1648,562
15503080,1473,44
15503090,256,950
15503100,408,120
15503110,932,440
15503120,700,609
15503130,299,774
15503140,975,384
15503150,1975,990
15503160,1836,864
15503170,413,835
15503180,1591,493
15503190,236,170
15503200,704,242
15503210,960,168
15503220,1713,92
15503230,1616,559
15503240,1142,163
15503250,1829,949
15503260,382,636
15503270,1583,580
15503280,585,93
15503290,1434,336
15503300,776,507
15503310,516,422
15503320,1287,564
15503330,1829,495
15503340,1884,45
15503350,121,784
15503360,38,239
15503370,1639,575
15503380,1308,863
15503390,498,851
15503400,125,610
15503410,1781,62
15503420,1505,370
15503430,944,794
15503440,789,487
15503450,349,542
15503460,662,83
15503470,493,853
15503480,1342,515
15503490,173,973
15503500,713,830
15503510,552,205
15503520,1670,19
15503530,1409,11
15503540,1511,391
15503550,1418,416
15503560,111,24
15503570,451,50
15503580,712,370
15503590,1613,476
15503600,1034,724
15503610,1982,80
15503620,1038,76
15503630,218,452
15503640,1321,929
15503650,703,761
15503660,1797,153
15503670,624,580
15503680,168,400
15503690,1616,485
15503700,162,633
15503710,1418,508
15503720,989,834
15503730,1889,115
15503740,666,484
15503750,1999,176
15503760,486,858
15503770,382,116
15503780,729,102
15503790,965,802
15503800,857,992
15503810,339,671
15503820,1372,393
15503830,1272,182
15503840,773,359
15503850,1689,264
15503860,931,352
15503870,1586,505
15503880,1461,2
15503890,1815,336
15503900,617,72
15503910,1624,846
15503920,1733,786
15503930,599,37
15503940,1974,626
15503950,1646,748
15503960,1067,577
15503970,729,879
15503980,80,203
15503990,1228,757
15504000,993,518
15504010,1961,232
15504020,640,413
15504030,769,109
15504040,1987,252
15504050,193,472
15504060,519,63
15504070,137,659
15504080,965,131
15504090,1475,214
15504100,1313,483
15504110,1871,203
15504120,43,156
15504130,73,585
15504140,492,326
15504150,240,44
15504160,226,305
15504170,1015,825
15504180,375,427
15504190,1897,855
15504200,589,335
15504210,361,707
15504220,629,746
15504230,84,137
15504240,909,482
15504250,392,17
15504260,1796,630
15504270,314,965
15504280,410,951
15504290,1968,174
15504300,186,126
15504310,1112,549
15504320,1340,960
15504330,830,113
15504340,1491,671
15504350,1343,467
15504360,1567,445
15504370,895,599
15504380,1673,352
15504390,124,30
15504400,1780,859
15504410,614,963
15504420,627,625
15504430,1438,88
15504440,835,38
15504450,247,364
15504460,42,62
15504470,805,564
15504480,1723,444
15504490,389,748
15504500,107,547
15504510,269,399
15504520,1937,275
15504530,1812,504
15504540,1340,562
15504550,1126,898
15504560,907,602
15504570,95,813
15504580,1610,974
15504590,350,572
15504600,1031,383
15504610,1499,534
15504620,1755,937
15504630,1763,573
15504640,50,30
15504650,605,591
15504660,1774,500
15504670,1206,943
15504680,1387,546
15504690,1909,836
15504700,1744,336
15504710,1680,158
15504720,1522,202
15504730,1333,302
15504740,1962,544
15504750,635,649
15504760,1300,300
15504770,1869,508
15504780,1877,846
15504790,1,90
15504800,438,573
15504810,299,48
15504820,1475,90
15504830,363,746
15504840,702,911
15504850,835,411
15504860,1972,49
15504870,1757,816
15504880,601,222
15504890,1378,408
15504900,1970,352
15504910,137,695
15504920,1583,727
15504930,1839,718
15504940,1240,82
15504950,701,87
15504960,1133,884
15504970,973,455
15504980,1649,596
15504990,1594,286
15505000,778,812
15505010,739,966
15505020,983,485
15505030,1899,179
15505040,676,972
15505050,1041,358
15505060,165,526
15505070,1553,691
15505080,1182,71
15505090,1125,852
15505100,910,329
15505110,1555,936
15505120,612,673
15505130,1238,306
15505140,1974,679
15505150,1698,871
15505160,294,819
15505170,1423,486
15505180,1448,737
15505190,935,510
15505200,631,867
15505210,535,565
15505220,1568,932
15505230,1656,909
15505240,337,958
15505250,1060,683
15505260,317,192
15505270,173,178
15505280,881,571
15505290,1714,141
15505300,1840,806
15505310,691,684
15505320,1205,561
15505330,629,275
15505340,480,222
15505350,1035,806
15505360,28,895
15505370,1810,169
15505380,364,229
15505390,16,732
15505400,942,684
15505410,801,259
15505420,1837,86
15505430,1467,612
15505440,231,100
15505450,1882,777
15505460,895,649
15505470,258,568
15505480,69,537
15505490,1558,187
15505500,1471,227
15505510,519,697
15505520,1768,59
15505530,781,187
15505540,664,59
15505550,1714,173
15505560,1952,722
15505570,1927,375
15505580,1108,246
15505590,984,835
15505600,1120,655
15505610,1022,506
15505620,257,43
15505630,287,351
15505640,1232,709
15505650,1718,584
15505660,1307,351
15505670,315,276
