value,page,position
6600000,501,90
6600010,417,671
6600020,1691,716
6600030,1102,147
6600040,633,842
6600050,1065,18
6600060,1652,256
6600070,1532,318
6600080,453,647
6600090,1466,528
6600100,1202,468
6600110,1297,537
6600120,1916,414
6600130,1344,380
6600140,1727,144
6600150,1614,473
6600160,211,239
6600170,1041,599
6600180,1687,785
6600190,18,515
6600200,531,845
6600210,668,221
6600220,1682,513
6600230,1415,935
6600240,149,470
6600250,952,830
6600260,173,284
6600270,157,94
6600280,1798,126
6600290,1845,464
6600300,1565,205
6600310,255,898
6600320,1355,541
6600330,666,801
6600340,1039,41
6600350,20,337
6600360,1516,271
6600370,1610,784
6600380,234,649
6600390,2,357
6600400,230,837
6600410,1209,133
6600420,113,252
6600430,1590,474
6600440,238,446
6600450,1990,125
6600460,1337,247
6600470,506,546
6600480,229,103
6600490,1999,782
6600500,1162,770
6600510,583,264
6600520,1336,384
6600530,323,375
6600540,925,932
6600550,714,625
6600560,98,479
6600570,1964,991
6600580,251,931
6600590,686,378
6600600,251,598
6600610,128,632
6600620,852,750
6600630,220,462
6600640,732,927
6600650,1317,852
6600660,732,468
6600670,637,750
6600680,524,388
6600690,1741,429
6600700,1310,964
6600710,673,50
6600720,1801,582
6600730,668,258
6600740,505,723
6600750,1114,483
6600760,789,226
6600770,1389,835
6600780,1929,243
6600790,688,9
6600800,1094,957
6600810,491,770
6600820,915,442
6600830,785,491
6600840,193,803
6600850,56,492
6600860,552,45
6600870,1630,179
6600880,267,547
6600890,136,516
6600900,561,354
6600910,857,444
6600920,432,228
6600930,612,181
6600940,295,797
6600950,1281,773
6600960,1708,329
6600970,909,804
6600980,1576,843
6600990,1455,522
6601000,1485,193
6601010,1653,163
6601020,272,48
6601030,355,215
6601040,3,200
6601050,557,885
6601060,910,611
6601070,958,149
6601080,1179,653
6601090,1572,567
6601100,809,290
6601110,1995,281
6601120,1844,646
6601130,1874,492
6601140,332,991
6601150,1462,652
6601160,1768,81
6601170,415,754
6601180,984,184
6601190,482,664
6601200,1481,919
6601210,1049,97
6601220,1864,348
6601230,64,174
6601240,97,725
6601250,262,598
6601260,935,712
6601270,160,203
6601280,314,997
6601290,467,304
6601300,1613,848
6601310,752,750
6601320,546,213
6601330,788,70
6601340,357,619
6601350,1543,128
6601360,1156,749
6601370,453,628
6601380,797,103
6601390,1996,252
6601400,376,967
6601410,146,560
6601420,1519,738
6601430,675,258
6601440,1444,363
6601450,1654,371
6601460,1356,792
6601470,1809,767
6601480,1884,749
6601490,25,906
6601500,1232,334
6601510,323,433
6601520,1734,793
6601530,1562,249
6601540,1922,945
6601550,1874,857
6601560,1670,770
6601570,908,195
6601580,1729,349
6601590,84,389
6601600,1528,128
6601610,1400,888
6601620,1267,291
6601630,1228,628
6601640,758,762
6601650,1112,103
6601660,1867,728
6601670,1149,690
6601680,298,774
6601690,65,676
6601700,112,470
6601710,99,888
6601720,163,882
6601730,883,550
6601740,1232,462
6601750,513,546
6601760,1749,679
6601770,972,799
6601780,1031,464
6601790,1371,27
6601800,604,333
6601810,599,36
6601820,1019,469
6601830,278,625
6601840,488,362
6601850,1606,471
6601860,91,666
6601870,1655,744
6601880,297,872
6601890,26,544
6601900,977,333
6601910,1106,54
6601920,590,538
6601930,300,880
6601940,1917,703
6601950,693,320
6601960,434,542
6601970,290,834
6601980,225,741
6601990,1343,982
6602000,1189,646
6602010,357,842
6602020,1113,280
6602030,1319,822
6602040,998,320
6602050,313,584
6602060,496,954
6602070,939,941
6602080,1640,563
6602090,729,980
6602100,299,13
6602110,113,530
6602120,626,276
6602130,1101,489
6602140,1600,620
6602150,581,12
6602160,419,638
6602170,619,613
6602180,1761,922
6602190,1149,96
6602200,668,761
6602210,1970,674
6602220,1917,453
6602230,793,556
6602240,1187,607
6602250,1579,490
6602260,211,491
6602270,541,128
6602280,1036,688
6602290,1838,963
6602300,754,301
6602310,619,623
6602320,111,858
6602330,858,949
6602340,959,585
6602350,1008,178
6602360,1782,214
6602370,554,18
6602380,1242,11
6602390,1480,807
6602400,612,540
6602410,1938,111
6602420,223,158
6602430,1754,923
6602440,319,502
6602450,1299,104
6602460,731,799
6602470,155,27
6602480,15,326
6602490,137,125
6602500,1383,10
6602510,1415,922
6602520,1233,396
6602530,510,854
6602540,625,445
6602550,1701,371
6602560,165,683
6602570,1858,109
6602580,1404,360
6602590,1478,127
6602600,364,110
6602610,1705,327
6602620,22,460
6602630,1778,803
6602640,1186,944
6602650,1366,107
6602660,1463,405
6602670,1629,513
6602680,1741,99
6602690,1869,106
6602700,540,759
6602710,900,118
6602720,148,141
6602730,1792,632
6602740,1643,879
6602750,425,628
6602760,1061,169
6602770,1414,474
6602780,603,473
6602790,748,525
6602800,274,23
6602810,1275,984
6602820,932,502
6602830,260,347
6602840,306,893
6602850,833,594
6602860,507,712
6602870,1123,110
6602880,968,85
6602890,1624,413
6602900,1646,384
6602910,1123,739
6602920,30,459
6602930,140,396
6602940,1069,740
6602950,1926,201
6602960,1189,377
6602970,1026,460
6602980,781,816
6602990,147,552
6603000,1899,139
6603010,705,939
6603020,1267,731
6603030,1708,97
6603040,1203,261
6603050,409,251
6603060,1697,452
6603070,672,124
6603080,379,452
6603090,428,281
6603100,20,680
6603110,561,995
6603120,79,496
6603130,1497,427
6603140,12,541
6603150,1234,617
6603160,666,556
6603170,417,644
6603180,101,767
6603190,1010,896
6603200,285,826
6603210,470,644
6603220,894,257
6603230,1535,780
6603240,619,787
6603250,1365,910
6603260,1078,512
6603270,1885,425
6603280,1980,91
6603290,1910,828
6603300,244,383
6603310,1816,500
6603320,388,782
6603330,1036,746
6603340,52,548
6603350,1140,967
6603360,1310,429
6603370,1500,815
6603380,1790,784
6603390,1034,565
6603400,286,291
6603410,199,170
6603420,885,514
6603430,1450,34
6603440,1073,810
6603450,825,255
6603460,1551,841
6603470,1348,644
6603480,1389,393
6603490,1377,532
6603500,1164,796
6603510,1852,846
6603520,773,392
6603530,867,930
6603540,89,282
6603550,424,637
6603560,1107,289
6603570,964,272
6603580,910,785
6603590,1133,870
6603600,1509,443
6603610,1786,123
6603620,584,716
6603630,1265,747
6603640,64,766
6603650,958,24
6603660,1060,147
6603670,1273,358
6603680,668,798
6603690,125,113
6603700,1169,746
6603710,1677,220
6603720,1406,538
6603730,903,560
6603740,79,331
6603750,359,733
6603760,1228,359
6603770,1506,808
6603780,849,12
6603790,1688,505
6603800,1431,124
6603810,657,227
6603820,359,734
6603830,428,752
6603840,183,571
6603850,266,718
6603860,1600,484
6603870,1760,28
6603880,1200,27
6603890,689,233
6603900,450,680
6603910,1885,551
6603920,300,226
6603930,405,522
6603940,1777,94
6603950,126,740
6603960,1376,741
6603970,660,268
6603980,1174,768
6603990,61,246
6604000,567,867
6604010,979,15
6604020,553,496
6604030,43,307
6604040,363,583
6604050,1254,86
6604060,1541,9
6604070,1096,36
6604080,1560,649
6604090,1816,931
6604100,336,103
6604110,49,282
6604120,1111,218
6604130,612,755
6604140,132,728
6604150,1856,552
6604160,307,628
6604170,510,208
6604180,1223,308
6604190,653,992
6604200,373,720
6604210,910,510
6604220,539,234
6604230,485,61
6604240,1023,508
6604250,353,303
6604260,669,172
6604270,599,72
6604280,1970,364
6604290,1878,413
6604300,122,376
6604310,1956,311
6604320,1707,393
6604330,40,979
6604340,1571,652
6604350,1610,740
6604360,300,188
