value,page,position
14900000,1542,892
14900010,1265,456
14900020,1190,373
14900030,107,745
14900040,216,972
14900050,839,804
14900060,852,307
14900070,1100,638
14900080,1067,656
14900090,586,806
14900100,42,365
14900110,182,446
14900120,1788,734
14900130,88,943
14900140,338,647
14900150,1756,100
14900160,1724,231
14900170,1257,484
14900180,1440,343
14900190,1167,952
14900200,159,478
14900210,1650,120
14900220,42,466
14900230,775,113
14900240,1540,307
14900250,99,73
14900260,719,435
14900270,51,215
14900280,1509,69
14900290,570,691
14900300,324,384
14900310,422,519
14900320,773,886
14900330,1957,365
14900340,1910,173
14900350,1492,535
14900360,1104,716
14900370,1828,743
14900380,1193,518
14900390,1191,663
14900400,1343,584
14900410,787,603
14900420,1209,10
14900430,91,869
14900440,1809,681
14900450,177,79
14900460,1691,232
14900470,677,240
14900480,1399,697
14900490,704,896
14900500,468,686
14900510,791,972
14900520,373,366
14900530,1943,297
14900540,1995,587
14900550,1227,616
14900560,950,302
14900570,1745,814
14900580,1817,295
14900590,599,534
14900600,484,423
14900610,1318,165
14900620,113,405
14900630,1046,439
14900640,1073,97
14900650,505,141
14900660,173,126
14900670,1062,707
14900680,1384,734
14900690,709,229
14900700,1041,529
14900710,530,216
14900720,936,934
14900730,1916,840
14900740,263,781
14900750,1375,52
14900760,1971,498
14900770,1538,173
14900780,725,679
14900790,444,415
14900800,583,344
14900810,1248,363
14900820,1199,279
14900830,1845,204
14900840,1573,645
14900850,1451,676
14900860,735,130
14900870,411,602
14900880,978,937
14900890,1284,248
14900900,1817,420
14900910,1184,273
14900920,198,744
14900930,279,598
14900940,1597,224
14900950,730,708
14900960,1199,748
14900970,1950,545
14900980,288,445
14900990,578,941
14901000,1347,607
14901010,1102,373
14901020,620,657
14901030,234,611
14901040,1608,106
14901050,96,43
14901060,1666,768
14901070,1740,315
14901080,1990,120
14901090,1611,758
14901100,138,775
14901110,340,977
14901120,748,832
14901130,413,213
14901140,1886,346
14901150,353,745
14901160,698,164
14901170,142,251
14901180,1173,859
14901190,1347,515
14901200,1782,889
14901210,578,225
14901220,1736,472
14901230,1008,680
14901240,1422,52
14901250,599,650
14901260,1819,243
14901270,33,395
14901280,169,866
14901290,1638,869
14901300,862,258
14901310,1022,521
14901320,86,550
14901330,85,734
14901340,1107,819
14901350,1145,40
14901360,1365,87
14901370,1875,906
14901380,1912,936
14901390,765,702
14901400,986,894
14901410,1330,344
14901420,1723,517
14901430,658,866
14901440,259,640
14901450,1746,447
14901460,99,903
14901470,514,83
14901480,1438,704
14901490,1543,235
14901500,183,580
14901510,1091,891
14901520,1782,476
14901530,246,88
14901540,570,470
14901550,690,96
14901560,1388,525
14901570,306,449
14901580,1307,508
14901590,1920,316
14901600,1929,865
14901610,1558,493
14901620,70,166
14901630,1135,246
14901640,1924,894
14901650,327,285
14901660,84,178
14901670,1934,958
14901680,637,888
14901690,1113,79
14901700,944,398
14901710,1345,321
14901720,363,840
14901730,1322,699
14901740,471,429
14901750,1917,982
14901760,188,342
14901770,724,710
14901780,265,167
14901790,1966,521
14901800,316,814
14901810,1596,660
14901820,1070,672
14901830,342,788
14901840,1139,404
14901850,1957,777
14901860,1821,504
14901870,22,834
14901880,64,813
14901890,1633,897
14901900,851,712
14901910,543,673
14901920,1587,828
14901930,1207,92
14901940,1731,462
14901950,1307,588
14901960,1656,170
14901970,1421,993
14901980,1753,997
14901990,55,451
14902000,373,566
14902010,974,934
14902020,1967,378
14902030,983,32
14902040,1307,36
14902050,106,325
14902060,1097,203
14902070,423,684
14902080,109,918
14902090,1309,847
14902100,1737,316
14902110,1314,351
14902120,290,813
14902130,584,15
14902140,1798,42
14902150,1909,384
14902160,1872,51
14902170,764,740
14902180,591,883
14902190,954,734
14902200,1302,744
14902210,595,269
14902220,1772,800
14902230,1962,682
14902240,1413,504
14902250,1188,619
14902260,1211,146
14902270,1784,110
14902280,1145,784
14902290,326,83
14902300,491,63
14902310,1416,865
14902320,1940,64
14902330,90,325
14902340,1067,196
14902350,1964,743
14902360,1209,847
14902370,1978,373
14902380,55,915
14902390,1990,116
14902400,1005,67
14902410,1562,548
14902420,389,778
14902430,1802,788
14902440,1205,650
14902450,1094,913
14902460,1875,241
14902470,966,150
14902480,727,978
14902490,628,567
14902500,731,778
14902510,1458,81
14902520,1260,629
14902530,655,4
14902540,1502,457
14902550,817,738
14902560,1534,840
14902570,1501,106
14902580,182,189
14902590,1478,104
14902600,1895,249
14902610,1794,578
14902620,609,65
14902630,421,26
14902640,1130,647
14902650,462,287
14902660,73,164
14902670,1489,260
14902680,1084,34
14902690,1758,38
14902700,1944,754
14902710,1688,264
14902720,315,395
14902730,573,132
14902740,450,17
14902750,1610,71
14902760,1768,342
14902770,1938,565
14902780,109,823
14902790,1743,718
14902800,1579,199
14902810,1108,557
14902820,1107,115
14902830,1003,650
14902840,1628,512
14902850,573,1
14902860,402,877
14902870,1422,362
14902880,120,751
14902890,916,153
14902900,304,903
14902910,723,363
14902920,833,131
14902930,187,420
14902940,1200,769
14902950,679,781
14902960,437,482
14902970,945,895
14902980,720,186
14902990,1737,569
14903000,937,819
14903010,1289,321
14903020,872,145
14903030,398,357
14903040,1965,112
14903050,872,542
14903060,1693,170
14903070,1173,866
14903080,670,703
14903090,1981,390
14903100,85,831
14903110,1920,761
14903120,793,38
14903130,309,548
14903140,278,246
14903150,5,98
14903160,1124,105
14903170,1724,138
14903180,1606,100
14903190,967,207
