value,page,position
11100000,971,969
11100010,1330,826
11100020,433,153
11100030,887,812
11100040,1379,457
11100050,448,301
11100060,22,588
11100070,1978,211
11100080,1641,16
11100090,645,180
11100100,887,537
11100110,173,90
11100120,691,740
11100130,1716,552
11100140,328,214
11100150,1741,461
11100160,1984,317
11100170,1647,281
11100180,14,916
11100190,14,911
11100200,1643,523
11100210,238,779
11100220,117,879
11100230,1497,898
11100240,1354,267
11100250,96,506
11100260,1169,913
11100270,110,229
11100280,1123,84
11100290,322,387
11100300,1731,863
11100310,451,281
11100320,1103,419
11100330,902,328
11100340,1437,463
11100350,1785,422
11100360,1243,367
11100370,1921,52
11100380,1175,923
11100390,1630,168
11100400,1154,598
11100410,1063,575
11100420,690,95
11100430,1776,317
11100440,1800,869
11100450,1249,661
11100460,1154,390
11100470,1671,830
11100480,1268,870
11100490,1445,319
11100500,1579,872
11100510,435,579
11100520,584,99
11100530,286,431
11100540,1984,968
11100550,1778,227
11100560,1892,733
11100570,1134,180
11100580,1490,202
11100590,1771,470
11100600,148,591
11100610,1840,457
11100620,60,282
11100630,1453,120
11100640,1624,817
11100650,665,152
11100660,297,211
11100670,337,310
11100680,969,87
11100690,1625,133
11100700,248,719
11100710,104,73
11100720,1504,936
11100730,378,594
11100740,167,519
11100750,663,121
11100760,231,42
11100770,1509,713
11100780,1139,907
11100790,445,411
11100800,1456,674
11100810,8,947
11100820,835,410
11100830,1886,524
11100840,1715,878
11100850,1555,331
11100860,1707,349
11100870,766,706
11100880,589,586
11100890,974,421
11100900,1694,898
11100910,946,602
11100920,1104,906
11100930,620,143
11100940,972,642
11100950,1975,78
11100960,185,321
11100970,1889,834
11100980,1242,942
11100990,841,619
11101000,1338,687
11101010,450,865
11101020,653,68
11101030,1789,929
11101040,110,865
11101050,233,831
11101060,657,689
11101070,1138,921
11101080,1404,905
11101090,1122,658
11101100,1978,350
11101110,399,267
11101120,1245,247
11101130,1941,101
11101140,1376,962
11101150,696,397
11101160,195,685
11101170,1349,802
11101180,1990,321
11101190,210,537
11101200,1760,153
11101210,1048,46
11101220,1984,422
11101230,415,125
11101240,1637,723
11101250,1641,102
11101260,748,861
11101270,1976,567
11101280,257,490
11101290,1405,488
11101300,1334,833
11101310,904,534
11101320,789,38
11101330,65,89
11101340,518,615
11101350,1380,212
11101360,1218,34
11101370,523,584
11101380,1088,4
11101390,319,795
11101400,1132,592
11101410,1828,148
11101420,1669,986
11101430,1510,941
11101440,1414,933
11101450,1012,291
11101460,1674,167
11101470,821,359
11101480,378,436
11101490,1474,286
11101500,1360,436
11101510,1161,868
11101520,1119,757
11101530,828,397
11101540,366,57
11101550,1415,622
11101560,1742,870
11101570,143,158
11101580,270,623
11101590,204,274
11101600,1189,944
11101610,1455,832
11101620,119,416
11101630,280,863
11101640,1552,927
11101650,254,638
11101660,1646,611
11101670,1565,67
11101680,321,557
11101690,1950,704
11101700,96,100
11101710,1077,919
11101720,1915,965
11101730,1480,223
11101740,879,949
11101750,462,525
11101760,760,818
11101770,1455,966
11101780,1995,776
11101790,88,9
11101800,269,242
11101810,459,348
11101820,1517,574
11101830,773,16
11101840,1613,856
11101850,123,480
11101860,978,492
11101870,1438,155
11101880,1851,427
11101890,956,613
11101900,747,523
11101910,1760,206
11101920,1799,713
11101930,320,146
11101940,1840,230
11101950,941,255
11101960,1697,317
11101970,315,270
11101980,1550,965
11101990,892,175
11102000,166,699
11102010,1837,99
11102020,273,448
11102030,182,786
11102040,1326,805
11102050,185,583
11102060,151,15
11102070,466,153
11102080,1004,787
11102090,1232,272
11102100,1695,906
11102110,887,337
11102120,705,532
11102130,1825,34
11102140,400,753
11102150,1868,74
11102160,1409,165
11102170,1416,671
11102180,936,255
11102190,384,547
11102200,1342,813
11102210,380,919
11102220,261,792
11102230,1771,661
11102240,1407,190
11102250,131,969
11102260,379,399
11102270,1214,275
11102280,971,647
11102290,678,815
11102300,971,687
11102310,695,273
11102320,1049,172
11102330,995,733
11102340,978,612
11102350,1241,270
11102360,1624,87
11102370,1948,317
11102380,899,387
11102390,552,894
11102400,1370,984
11102410,807,839
11102420,1177,962
11102430,1158,188
11102440,1897,572
11102450,1538,700
11102460,1873,778
11102470,1706,672
11102480,1673,175
11102490,556,500
11102500,1600,303
11102510,678,945
11102520,1105,363
11102530,584,178
11102540,915,497
11102550,1484,142
11102560,1946,181
11102570,513,430
11102580,1804,680
11102590,1157,741
11102600,1711,315
11102610,121,317
11102620,1942,485
11102630,137,680
11102640,1356,83
11102650,882,208
11102660,583,927
11102670,1906,986
11102680,992,829
11102690,125,228
