value,page,position
1700000,430,907
1700010,722,787
1700020,244,196
1700030,424,528
1700040,1947,806
1700050,367,710
1700060,1726,120
1700070,1349,649
1700080,1858,547
1700090,1938,10
1700100,191,277
1700110,1518,207
1700120,597,896
1700130,1703,132
1700140,1411,690
1700150,580,373
1700160,295,714
1700170,1932,719
1700180,1279,357
1700190,1396,979
1700200,1283,292
1700210,524,700
1700220,1330,834
1700230,1914,188
1700240,1385,429
1700250,1194,872
1700260,816,343
1700270,1099,244
1700280,1091,650
1700290,783,727
1700300,836,660
1700310,1160,769
1700320,1592,499
1700330,1753,903
1700340,1038,433
1700350,1441,678
1700360,136,455
1700370,1555,764
1700380,1936,250
1700390,890,692
1700400,1709,297
1700410,510,460
1700420,143,865
1700430,1210,681
1700440,1574,955
1700450,1105,641
1700460,1555,619
1700470,1965,463
1700480,109,137
1700490,352,936
1700500,3,173
1700510,1706,437
1700520,295,81
1700530,79,330
1700540,1993,100
1700550,552,237
1700560,653,915
1700570,232,444
1700580,950,825
1700590,1240,194
1700600,968,410
1700610,1399,734
1700620,1793,825
1700630,770,726
1700640,55,699
1700650,1486,692
1700660,1365,968
1700670,1204,734
1700680,180,82
1700690,320,529
1700700,1609,450
1700710,1996,727
1700720,1757,754
1700730,990,396
1700740,1108,325
1700750,430,24
1700760,113,459
1700770,365,592
1700780,1827,760
1700790,101,553
1700800,956,898
1700810,1636,893
1700820,1190,489
1700830,390,83
1700840,765,244
1700850,1883,996
1700860,615,401
1700870,1028,286
1700880,1865,567
1700890,163,467
1700900,1454,851
1700910,345,849
1700920,608,640
1700930,1562,924
1700940,1668,187
1700950,446,660
1700960,1847,706
1700970,913,687
1700980,1308,156
1700990,1277,646
1701000,671,830
1701010,75,261
1701020,1778,186
1701030,31,628
1701040,827,664
1701050,349,520
1701060,884,879
1701070,1459,402
1701080,947,482
1701090,1531,668
1701100,1915,488
1701110,91,485
1701120,205,636
1701130,332,279
1701140,64,929
1701150,517,387
1701160,1929,105
1701170,718,753
1701180,1817,897
1701190,1520,33
1701200,297,919
1701210,894,106
1701220,1576,737
1701230,1647,925
1701240,1223,909
1701250,255,892
1701260,12,211
1701270,640,289
1701280,881,894
1701290,1868,942
1701300,1124,169
1701310,209,150
1701320,553,861
1701330,1847,851
1701340,876,877
1701350,1582,612
1701360,1311,50
1701370,108,307
1701380,1491,401
1701390,1186,499
1701400,858,8
1701410,732,590
1701420,105,355
1701430,1266,728
1701440,218,425
1701450,47,462
1701460,443,304
1701470,1331,817
1701480,595,543
1701490,1092,209
1701500,152,323
1701510,1019,676
1701520,572,906
1701530,1258,601
1701540,1014,408
1701550,1570,671
1701560,1509,522
1701570,1233,158
1701580,880,105
1701590,1206,675
1701600,1008,634
1701610,687,64
1701620,1150,22
1701630,1418,553
1701640,1074,929
1701650,679,64
1701660,1483,990
1701670,1266,452
1701680,1805,956
1701690,777,638
1701700,68,834
1701710,140,478
1701720,709,627
1701730,521,95
1701740,215,244
1701750,495,191
1701760,12,388
1701770,216,614
1701780,1657,223
1701790,436,974
1701800,421,549
1701810,1543,435
1701820,390,185
1701830,647,71
1701840,173,293
1701850,359,153
1701860,582,913
1701870,1597,741
1701880,408,793
1701890,704,378
1701900,815,589
1701910,997,286
1701920,1418,629
1701930,238,165
1701940,451,612
1701950,1969,26
1701960,211,668
1701970,345,99
1701980,1471,878
1701990,243,973
1702000,1606,468
1702010,822,396
1702020,1717,671
1702030,558,550
1702040,1314,772
1702050,483,829
1702060,1216,422
1702070,284,294
1702080,1120,919
1702090,1209,69
1702100,1506,218
1702110,361,714
1702120,259,215
1702130,1261,400
1702140,1457,343
1702150,1053,779
1702160,762,810
1702170,1293,254
1702180,1882,848
1702190,564,827
1702200,257,968
1702210,1995,270
1702220,1679,88
