14821930, 5129060, 4358880, 950680, 81240, 264980, 76490,----------------------------------------------------------------------------------------------------
4428570, 459410, 3232630, 15650, 367630, 135220, 15540,----------------------------------------------------------------------------------------------------
6485370, 8286160, 1357240, 1553420, 1114180, 35980, 16900,----------------------------------------------------------------------------------------------------
1975420, 5016360, 3817030, 898570, 138770, 442700, 95760,----------------------------------------------------------------------------------------------------
11684470, 1417950, 2776270, 2173200, 1121320, 700, 291610,----------------------------------------------------------------------------------------------------
6955430, 6594570, 2344050, 938240, 195810, 206370, 289980,----------------------------------------------------------------------------------------------------
6447000, 4311850, 1397610, 1030050, 863860, 174320, 220070,----------------------------------------------------------------------------------------------------
6094830, 1127050, 745610, 116780, 1181210, 26160, 85020,----------------------------------------------------------------------------------------------------
9755460, 223700, 2419300, 1464070, 1065310, 463140, 265930,----------------------------------------------------------------------------------------------------
8561180, 9630570, 3475700, 2463110, 1129990, 22110, 1040,----------------------------------------------------------------------------------------------------
985690, 5946600, 4198310, 99040, 996490, 272590, 278130,----------------------------------------------------------------------------------------------------
8453120, 6298320, 2553810, 858060, 843410, 358120, 198630,----------------------------------------------------------------------------------------------------
10622240, 3092300, 4407260, 742450, 196490, 49870, 219020,----------------------------------------------------------------------------------------------------
7999590, 6755480, 3570340, 1872550, 275710, 387320, 125950,----------------------------------------------------------------------------------------------------
13351060, 7950100, 1171270, 550810, 1032420, 462580, 144740,----------------------------------------------------------------------------------------------------
1230590, 1849730, 806960, 1653920, 116890, 365140, 27300,----------------------------------------------------------------------------------------------------
2886890, 6772200, 4170790, 2363040, 1146620, 261600, 44410,----------------------------------------------------------------------------------------------------
11686580, 5086010, 3815660, 2091480, 237570, 266030, 184810,----------------------------------------------------------------------------------------------------
462140, 8320630, 4094940, 193480, 830940, 270910, 141630,----------------------------------------------------------------------------------------------------
3511520, 4556940, 4569880, 1100640, 548730, 457870, 71620,----------------------------------------------------------------------------------------------------
8047920, 6493460, 1574480, 1417420, 690120, 481190, 300410,----------------------------------------------------------------------------------------------------
2784210, 3469110, 4476470, 338230, 615580, 449660, 294220,----------------------------------------------------------------------------------------------------
13012080, 4008350, 1776930, 872610, 1141410, 245190, 222180,----------------------------------------------------------------------------------------------------
3002970, 6908280, 4531730, 35600, 530680, 86840, 295250,----------------------------------------------------------------------------------------------------
5798450, 3428890, 4008870, 1982890, 821530, 562140, 205390,----------------------------------------------------------------------------------------------------
17079980, 2773100, 2477190, 2425900, 1173380, 317970, 167360,----------------------------------------------------------------------------------------------------
12256210, 9963560, 1392530, 1764730, 326440, 458280, 268640,----------------------------------------------------------------------------------------------------
11367430, 5120330, 388970, 1204210, 992440, 476610, 94850,----------------------------------------------------------------------------------------------------
15726920, 7415560, 3129820, 357670, 916690, 415060, 311100,----------------------------------------------------------------------------------------------------
9514870, 9500940, 4351770, 12710, 1064940, 182170, 206610,----------------------------------------------------------------------------------------------------
768130, 2317840, 1784790, 644500, 24950, 217980, 233390,----------------------------------------------------------------------------------------------------
1486010, 4122630, 165480, 1040080, 947000, 457110, 298670,----------------------------------------------------------------------------------------------------
5546980, 4831690, 833720, 239820, 922400, 115030, 59950,----------------------------------------------------------------------------------------------------
18283860, 3045090, 3203770, 716440, 782300, 591350, 121980,----------------------------------------------------------------------------------------------------
17757570, 3641370, 1340950, 657260, 608060, 603580, 171220,----------------------------------------------------------------------------------------------------
6107310, 3770360, 2218710, 286000, 581300, 379880, 258560,----------------------------------------------------------------------------------------------------
5900860, 7694170, 1034160, 871430, 714250, 326770, 298830,----------------------------------------------------------------------------------------------------
6075810, 7118980, 2412620, 1521360, 917600, 537430, 128460,----------------------------------------------------------------------------------------------------
11565480, 9044530, 3856720, 967060, 558880, 179140, 208270,----------------------------------------------------------------------------------------------------
19587780, 2860460, 2141820, 2434610, 175290, 511150, 15080,----------------------------------------------------------------------------------------------------
4206560, 4165230, 4091790, 998420, 873830, 408620, 155520,----------------------------------------------------------------------------------------------------
14527310, 4225100, 897670, 147780, 1002480, 31560, 62300,----------------------------------------------------------------------------------------------------
3516280, 600420, 1786330, 2359420, 716350, 2020, 19680,----------------------------------------------------------------------------------------------------
7896740, 4598930, 1665350, 491100, 1195770, 179220, 286030,----------------------------------------------------------------------------------------------------
895940, 3819200, 2247570, 2295950, 982970, 624120, 44520,----------------------------------------------------------------------------------------------------
1884330, 4402190, 3683030, 58730, 153730, 31570, 102640,----------------------------------------------------------------------------------------------------
6162720, 5437290, 2804700, 115050, 1111680, 442970, 302300,----------------------------------------------------------------------------------------------------
10555260, 1990750, 3257610, 527620, 148790, 52420, 302790,----------------------------------------------------------------------------------------------------
6669410, 3339200, 200920, 140410, 941800, 517700, 286730,----------------------------------------------------------------------------------------------------
14257710, 3890610, 4447410, 1384150, 372380, 362740, 70880,----------------------------------------------------------------------------------------------------
9966970, 2033450, 4419450, 1264680, 926730, 466440, 250920,----------------------------------------------------------------------------------------------------
10997000, 7101370, 1416160, 1707390, 309170, 504450, 85920,----------------------------------------------------------------------------------------------------
6069390, 4551630, 4126070, 1505830, 1138810, 377760, 177130,----------------------------------------------------------------------------------------------------
1268440, 739590, 3890050, 1674070, 988810, 324740, 242820,----------------------------------------------------------------------------------------------------
10099780, 5219450, 1773480, 1675360, 667920, 193330, 94840,----------------------------------------------------------------------------------------------------
12302660, 3659140, 379130, 1528090, 400190, 308800, 230940,----------------------------------------------------------------------------------------------------
6184730, 4000170, 1128290, 602810, 790860, 253580, 137030,----------------------------------------------------------------------------------------------------
15941270, 6646100, 175370, 1176180, 343150, 166990, 297880,----------------------------------------------------------------------------------------------------
6354790, 6129940, 4600870, 1541650, 1095680, 607770, 96440,----------------------------------------------------------------------------------------------------
10517020, 2397510, 2060970, 381860, 1107350, 156480, 188090,----------------------------------------------------------------------------------------------------
8402970, 1428830, 1214650, 2190450, 370850, 30830, 296580,----------------------------------------------------------------------------------------------------
3668940, 2252920, 311010, 1124990, 994170, 261710, 193730,----------------------------------------------------------------------------------------------------
492420, 8337700, 922850, 281690, 484230, 261780, 305340,----------------------------------------------------------------------------------------------------
14439600, 614750, 3589980, 1822670, 660980, 426030, 312260,----------------------------------------------------------------------------------------------------
13591380, 2756270, 2201240, 1045430, 854940, 327100, 18430,----------------------------------------------------------------------------------------------------
9730190, 4165790, 4625750, 1573070, 1185770, 150370, 292670,----------------------------------------------------------------------------------------------------
11563160, 2973110, 1100290, 2002070, 340820, 162140, 40640,----------------------------------------------------------------------------------------------------
10759400, 946580, 2469620, 950100, 691230, 476890, 79050,----------------------------------------------------------------------------------------------------
16069870, 808020, 32660, 155440, 962320, 172830, 307190,----------------------------------------------------------------------------------------------------
11123210, 1780650, 4986650, 607970, 460910, 280130, 291080,----------------------------------------------------------------------------------------------------
3096580, 7876080, 2466910, 1523060, 283890, 189980, 214400,----------------------------------------------------------------------------------------------------
15121870, 6885710, 4570760, 691970, 296670, 209970, 197930,----------------------------------------------------------------------------------------------------
3163290, 7538780, 3300960, 1627670, 118550, 517480, 7860,----------------------------------------------------------------------------------------------------
7362050, 5413890, 4604190, 2470180, 390420, 32530, 302420,----------------------------------------------------------------------------------------------------
14891220, 9419620, 2977220, 2446430, 94800, 237880, 56630,----------------------------------------------------------------------------------------------------
15368390, 6952050, 4746230, 521470, 119270, 199460, 191960,----------------------------------------------------------------------------------------------------
131070, 7463350, 4632640, 196210, 1236440, 11700, 270690,----------------------------------------------------------------------------------------------------
9061900, 6457440, 3081950, 555490, 1050670, 9150, 251950,----------------------------------------------------------------------------------------------------
14035800, 8077500, 2703600, 1882430, 276090, 298260, 236750,----------------------------------------------------------------------------------------------------
10061170, 7030380, 3809310, 1967270, 723520, 18010, 173250,----------------------------------------------------------------------------------------------------
13779840, 1920060, 3932010, 1214660, 725300, 40950, 197520,----------------------------------------------------------------------------------------------------
12058720, 6063100, 999040, 2124800, 42740, 357170, 42260,----------------------------------------------------------------------------------------------------
3190140, 1397550, 2107280, 2291420, 74390, 458400, 80210,----------------------------------------------------------------------------------------------------
17548050, 1985050, 1500350, 96220, 326550, 393310, 166560,----------------------------------------------------------------------------------------------------
1625160, 9578440, 2445140, 153540, 102810, 379870, 76090,----------------------------------------------------------------------------------------------------
9163570, 1348480, 565460, 257620, 542510, 225020, 239950,----------------------------------------------------------------------------------------------------
4535980, 3646830, 1152450, 1308870, 1123180, 509960, 144030,----------------------------------------------------------------------------------------------------
2873230, 6882200, 3207370, 2261230, 1008100, 471810, 21580,----------------------------------------------------------------------------------------------------
2205830, 9349400, 343160, 1610020, 1011580, 134310, 106600,----------------------------------------------------------------------------------------------------
