14599070, 2804910, 947560, 580390, 167550, 550720, 16730,----------------------------------------------------------------------------------------------------
14314960, 4559570, 4347640, 1488720, 409210, 108590, 92670,----------------------------------------------------------------------------------------------------
13222170, 9491110, 2636540, 192160, 1237410, 125300, 293980,----------------------------------------------------------------------------------------------------
11861090, 702950, 4568870, 1411210, 712400, 99070, 301890,----------------------------------------------------------------------------------------------------
19097630, 3456370, 4881110, 759580, 731450, 120220, 279440,----------------------------------------------------------------------------------------------------
18880550, 960700, 3268470, 739240, 551080, 278210, 221950,----------------------------------------------------------------------------------------------------
17455070, 5272820, 4855550, 610490, 1019050, 386770, 69560,----------------------------------------------------------------------------------------------------
18948230, 8243010, 4463690, 2196250, 227790, 58420, 127480,----------------------------------------------------------------------------------------------------
11756620, 39060, 4818750, 1046000, 630510, 270660, 24540,----------------------------------------------------------------------------------------------------
3411990, 9631720, 1151500, 1264230, 641950, 245610, 299030,----------------------------------------------------------------------------------------------------
11332050, 3418900, 3347580, 1414030, 856410, 494030, 64420,----------------------------------------------------------------------------------------------------
7763310, 4699320, 19850, 1104070, 451420, 53740, 299840,----------------------------------------------------------------------------------------------------
5895370, 6160970, 1101710, 1906290, 304300, 621120, 56660,----------------------------------------------------------------------------------------------------
11810720, 2447230, 508170, 2235390, 56110, 570980, 101040,----------------------------------------------------------------------------------------------------
1441270, 6836650, 1213570, 361410, 779750, 413440, 2910,----------------------------------------------------------------------------------------------------
12948350, 8187780, 3623050, 2355240, 754380, 4560, 302280,----------------------------------------------------------------------------------------------------
7344820, 5637660, 639310, 1621830, 371310, 69570, 70500,----------------------------------------------------------------------------------------------------
12512230, 511020, 1085870, 1745000, 253020, 383940, 228900,----------------------------------------------------------------------------------------------------
6346610, 8211480, 2812920, 2477420, 166110, 299920, 156390,----------------------------------------------------------------------------------------------------
12262540, 9165470, 3609410, 814320, 962310, 452840, 121420,----------------------------------------------------------------------------------------------------
9998530, 2820070, 1315740, 1987980, 93130, 447030, 137250,----------------------------------------------------------------------------------------------------
5304390, 7272660, 4218810, 1629190, 300680, 457120, 173690,----------------------------------------------------------------------------------------------------
5928980, 6380060, 1066140, 1613880, 95540, 194470, 124460,----------------------------------------------------------------------------------------------------
8038340, 9908180, 2569040, 988540, 275660, 115430, 221770,----------------------------------------------------------------------------------------------------
19865000, 3830590, 1181080, 925750, 104850, 471330, 238420,----------------------------------------------------------------------------------------------------
10667100, 8441250, 1296630, 647930, 1020260, 280130, 267410,----------------------------------------------------------------------------------------------------
1047180, 437790, 135780, 381010, 909930, 131760, 59000,----------------------------------------------------------------------------------------------------
8212650, 593960, 1397110, 175240, 810820, 455550, 193180,----------------------------------------------------------------------------------------------------
8893580, 3874790, 3574950, 1401670, 363410, 144130, 277700,----------------------------------------------------------------------------------------------------
13440810, 2436650, 2751750, 1580540, 1218200, 550050, 308210,----------------------------------------------------------------------------------------------------
8068220, 5532500, 3341430, 500660, 32190, 508200, 211110,----------------------------------------------------------------------------------------------------
2075840, 3106880, 3538620, 554980, 110180, 412290, 288700,----------------------------------------------------------------------------------------------------
7770170, 5743460, 2387570, 405930, 1099140, 428780, 59160,----------------------------------------------------------------------------------------------------
8895130, 7890570, 1541340, 1760910, 1219440, 618720, 58830,----------------------------------------------------------------------------------------------------
