3604270, 8527480, 4061270, 1777510, 236270, 275780, 11050,----------------------------------------------------------------------------------------------------
3599620, 8579540, 4043320, 980120, 448600, 157940, 24450,----------------------------------------------------------------------------------------------------
4865990, 7008950, 4350280, 1934280, 352690, 361880, 30070,----------------------------------------------------------------------------------------------------
19162780, 7076510, 2615780, 2167930, 177910, 624260, 249870,----------------------------------------------------------------------------------------------------
8405380, 1160150, 3801880, 1592860, 217940, 269440, 23470,----------------------------------------------------------------------------------------------------
13233630, 3866600, 4613680, 1330930, 731000, 273510, 32650,----------------------------------------------------------------------------------------------------
6000280, 5916000, 553130, 1872820, 913900, 491560, 168890,----------------------------------------------------------------------------------------------------
3594330, 5139310, 1323810, 964870, 1240460, 305120, 142930,----------------------------------------------------------------------------------------------------
3509950, 4734330, 1173020, 552020, 1015700, 313110, 107160,----------------------------------------------------------------------------------------------------
14773710, 1995690, 1648770, 476840, 86220, 485570, 288550,----------------------------------------------------------------------------------------------------
12907040, 7344790, 2974650, 1123590, 928960, 16530, 289230,----------------------------------------------------------------------------------------------------
5771340, 4903720, 2761350, 149880, 676520, 504960, 197780,----------------------------------------------------------------------------------------------------
8438190, 8912680, 3418510, 858050, 856770, 18840, 131050,----------------------------------------------------------------------------------------------------
12408980, 5965090, 672110, 163650, 101040, 232360, 187510,----------------------------------------------------------------------------------------------------
9951240, 3397310, 2935220, 2261580, 296190, 195590, 228480,----------------------------------------------------------------------------------------------------
9011480, 6875620, 817070, 2232530, 892900, 603500, 260280,----------------------------------------------------------------------------------------------------
4397890, 9248840, 1131110, 38090, 1192840, 604950, 229030,----------------------------------------------------------------------------------------------------
8090940, 7368530, 2635860, 1037320, 241300, 475100, 144640,----------------------------------------------------------------------------------------------------
17630490, 1069750, 718320, 1147000, 751990, 254550, 18000,----------------------------------------------------------------------------------------------------
12694840, 4067680, 3972110, 50380, 359810, 476240, 277820,----------------------------------------------------------------------------------------------------
14581900, 3792520, 3665980, 1171530, 1039180, 435230, 51260,----------------------------------------------------------------------------------------------------
15346160, 5918890, 3067460, 1210960, 881050, 317780, 77180,----------------------------------------------------------------------------------------------------
5954270, 2703120, 4889730, 2024030, 160620, 441680, 162510,----------------------------------------------------------------------------------------------------
3843530, 4802190, 1717540, 388400, 5050, 48090, 42510,----------------------------------------------------------------------------------------------------
15278830, 5397430, 918040, 2446290, 358070, 352420, 193040,----------------------------------------------------------------------------------------------------
16503140, 2677410, 380560, 1560860, 642500, 526170, 219350,----------------------------------------------------------------------------------------------------
16278650, 7019900, 1873730, 2426700, 316600, 443410, 140020,----------------------------------------------------------------------------------------------------
2826030, 3840430, 2168430, 3790, 771630, 25800, 188460,----------------------------------------------------------------------------------------------------
2853130, 8483590, 576600, 2040820, 796850, 353780, 287170,----------------------------------------------------------------------------------------------------
17953530, 7489340, 103550, 190010, 465060, 530210, 250090,----------------------------------------------------------------------------------------------------
804850, 8010430, 2165770, 1464020, 494080, 417120, 222560,----------------------------------------------------------------------------------------------------
6739020, 4851830, 544630, 477540, 612720, 416400, 45800,----------------------------------------------------------------------------------------------------
7700750, 916020, 3826870, 1627850, 381680, 532730, 130300,----------------------------------------------------------------------------------------------------
11583530, 91290, 2759870, 546300, 370660, 581130, 196040,----------------------------------------------------------------------------------------------------
19438230, 4854620, 4873170, 777970, 201210, 25210, 250360,----------------------------------------------------------------------------------------------------
4008760, 6225030, 820140, 455300, 1084350, 264670, 199130,----------------------------------------------------------------------------------------------------
16111750, 8886620, 1085980, 2158250, 320190, 561290, 128530,----------------------------------------------------------------------------------------------------
14216200, 3885380, 4353070, 949640, 605960, 548470, 16610,----------------------------------------------------------------------------------------------------
6797160, 3475420, 4951740, 1218950, 679750, 367860, 189050,----------------------------------------------------------------------------------------------------
19768520, 2660040, 2831390, 1396800, 832190, 529350, 267630,----------------------------------------------------------------------------------------------------
4826270, 9119190, 647550, 155060, 1097820, 285170, 205640,----------------------------------------------------------------------------------------------------
4552540, 2457420, 4014300, 1511950, 359750, 21050, 191780,----------------------------------------------------------------------------------------------------
18673280, 2840180, 1757840, 2258770, 773840, 81550, 302800,----------------------------------------------------------------------------------------------------
10092570, 8537290, 339990, 621020, 23650, 227770, 247540,----------------------------------------------------------------------------------------------------
7075250, 5578850, 2066630, 2108850, 1191900, 481930, 21930,----------------------------------------------------------------------------------------------------
4845900, 695470, 2106430, 2255760, 1035700, 278940, 287460,----------------------------------------------------------------------------------------------------
5889410, 8619240, 1129370, 834720, 1109300, 193520, 38490,----------------------------------------------------------------------------------------------------
10703150, 1257290, 3284220, 1444350, 1075220, 70250, 172660,----------------------------------------------------------------------------------------------------
14179960, 1209460, 2614180, 1301620, 1084640, 268460, 141500,----------------------------------------------------------------------------------------------------
11641670, 6976660, 2417740, 2181380, 352070, 81690, 267430,----------------------------------------------------------------------------------------------------
15868770, 8858580, 2658130, 1523510, 807350, 292120, 161960,----------------------------------------------------------------------------------------------------
17783480, 661000, 4287210, 457570, 787930, 101450, 31580,----------------------------------------------------------------------------------------------------
15210070, 3538760, 755940, 1209200, 891940, 619720, 205660,----------------------------------------------------------------------------------------------------
8379790, 1746210, 2613780, 381770, 772520, 325010, 108450,----------------------------------------------------------------------------------------------------
17996820, 1303820, 2965370, 539970, 897750, 167270, 261900,----------------------------------------------------------------------------------------------------
4735320, 7463860, 2530960, 1469240, 1186190, 580320, 157430,----------------------------------------------------------------------------------------------------
4774590, 4027130, 4155370, 1776530, 886810, 508100, 63080,----------------------------------------------------------------------------------------------------
2887480, 2160900, 1572740, 2211490, 45440, 266930, 119240,----------------------------------------------------------------------------------------------------
13356420, 7479010, 1123730, 830900, 237800, 49050, 222570,----------------------------------------------------------------------------------------------------
6301320, 3676030, 3211520, 2018140, 291040, 228090, 306630,----------------------------------------------------------------------------------------------------
5253060, 8894590, 2359480, 1448620, 10540, 83820, 124590,----------------------------------------------------------------------------------------------------
19141660, 6498090, 2934910, 1870850, 1168210, 183140, 206630,----------------------------------------------------------------------------------------------------
11420260, 5407480, 675840, 2075440, 628860, 221960, 170020,----------------------------------------------------------------------------------------------------
8269180, 8595380, 4481230, 1012030, 779600, 280370, 272830,----------------------------------------------------------------------------------------------------
10866900, 2591360, 4273340, 817760, 141900, 254680, 221950,----------------------------------------------------------------------------------------------------
