11842080, 7525860, 1083220, 1416990, 420900, 498810, 120020,----------------------------------------------------------------------------------------------------
432090, 9426730, 3361790, 163570, 158810, 158240, 298730,----------------------------------------------------------------------------------------------------
19642500, 8130590, 4964060, 4160, 742850, 277000, 207470,----------------------------------------------------------------------------------------------------
10775610, 7679450, 2131450, 385840, 121970, 556180, 304590,----------------------------------------------------------------------------------------------------
16810480, 20140, 3994390, 2388470, 5150, 498830, 270650,----------------------------------------------------------------------------------------------------
6729170, 8676620, 4915450, 885890, 512730, 36050, 109590,----------------------------------------------------------------------------------------------------
11934620, 8253370, 3322860, 2154930, 132000, 11360, 140710,----------------------------------------------------------------------------------------------------
2033400, 9090250, 1009140, 2128220, 208050, 609250, 126810,----------------------------------------------------------------------------------------------------
14592580, 9484160, 393740, 69660, 134090, 97210, 73580,----------------------------------------------------------------------------------------------------
15721570, 5650040, 492960, 1731540, 858090, 116750, 32820,----------------------------------------------------------------------------------------------------
16782540, 1356140, 1119640, 409380, 462930, 81450, 58310,----------------------------------------------------------------------------------------------------
14477030, 6623230, 3641780, 1369670, 1115630, 48640, 52830,----------------------------------------------------------------------------------------------------
8066740, 2888110, 1642110, 68230, 978140, 529790, 221640,----------------------------------------------------------------------------------------------------
13343860, 9007380, 3688080, 74840, 494750, 601830, 273620,----------------------------------------------------------------------------------------------------
8427680, 8156040, 2478550, 559740, 1214850, 327090, 225500,----------------------------------------------------------------------------------------------------
16328550, 9389850, 1959380, 1415300, 744850, 539920, 308010,----------------------------------------------------------------------------------------------------
17541950, 3822180, 3632900, 1798210, 378820, 8930, 187800,----------------------------------------------------------------------------------------------------
18171300, 6144790, 2250070, 319810, 535160, 196670, 130580,----------------------------------------------------------------------------------------------------
14001000, 2308610, 185060, 1877770, 94780, 194530, 197330,----------------------------------------------------------------------------------------------------
11164140, 3952960, 4005550, 2343000, 345030, 219200, 167320,----------------------------------------------------------------------------------------------------
15993420, 5160390, 4988830, 2497340, 1060430, 325880, 97420,----------------------------------------------------------------------------------------------------
19379290, 938500, 4811400, 1505410, 760520, 332010, 119000,----------------------------------------------------------------------------------------------------
2632350, 9662220, 2462570, 1322380, 13060, 564060, 156070,----------------------------------------------------------------------------------------------------
14214430, 3280720, 425650, 1816120, 502900, 298270, 223850,----------------------------------------------------------------------------------------------------
4249970, 5475980, 2849070, 2217240, 385980, 209930, 130330,----------------------------------------------------------------------------------------------------
11430, 5684840, 903770, 936620, 372640, 187330, 93340,----------------------------------------------------------------------------------------------------
2926520, 3859810, 2605070, 285480, 596650, 612440, 55600,----------------------------------------------------------------------------------------------------
2705170, 2209690, 4798070, 231700, 156210, 93770, 64720,----------------------------------------------------------------------------------------------------
19726230, 4568530, 3896930, 1927780, 471880, 566620, 203950,----------------------------------------------------------------------------------------------------
7111750, 5443280, 89570, 375030, 898660, 330920, 266680,----------------------------------------------------------------------------------------------------
5307670, 2818540, 2314140, 1879200, 187380, 599260, 154160,----------------------------------------------------------------------------------------------------
2282740, 8891850, 3112550, 562330, 829230, 622580, 303490,----------------------------------------------------------------------------------------------------
14391020, 5743390, 3927450, 305430, 1141970, 374700, 163770,----------------------------------------------------------------------------------------------------
14383310, 9181630, 3278780, 30690, 132100, 547640, 274210,----------------------------------------------------------------------------------------------------
6197340, 7266090, 3402020, 2438870, 1193090, 257950, 171810,----------------------------------------------------------------------------------------------------
9993090, 2983300, 2507000, 162340, 117160, 377190, 155470,----------------------------------------------------------------------------------------------------
14648480, 2885760, 1085020, 1792630, 706590, 13740, 73920,----------------------------------------------------------------------------------------------------
17455060, 3094230, 1254120, 2017120, 854630, 260170, 258940,----------------------------------------------------------------------------------------------------
